topic_number,topic_label,rank,video_id,summed_comment_relative_weight,share_of_topic_total_weight,modelled_comment_count,mean_video_relative_weight
2,Spray foam and foam insulation,12,5ScJj0YlUAM,22.86594184513341,0.015755803063294195,123,0.18590196622059682
2,Spray foam and foam insulation,13,0oDLwBZurp8,20.96553201149877,0.014446323520265104,344,0.06094631398691503
2,Spray foam and foam insulation,14,ZAPNCBbhoqE,20.285219659536565,0.013977553525499972,229,0.08858174523815095
2,Spray foam and foam insulation,15,QnFoiUXr4h4,18.106070707139345,0.012476008477756319,175,0.1034632611836534
2,Spray foam and foam insulation,16,U9IlMWrsE24,17.757551186251447,0.012235860708116466,97,0.18306753800259223
2,Spray foam and foam insulation,17,B5wwIv7ZhGI,16.862834618392952,0.011619355246145074,67,0.2516840987819844
2,Spray foam and foam insulation,18,Ou1CjwflZtM,16.15725720528931,0.011133176332454904,321,0.050334134595916846
2,Spray foam and foam insulation,19,W9ofvoF3GBk,15.180189039376518,0.010459926408799893,128,0.11859522687012905
2,Spray foam and foam insulation,20,V6lZXjRR-1k,12.095961943353965,0.008334736243595762,130,0.09304586110272281
3,Clarification and specification questions,1,irytqcJZSps,38.28592695636895,0.013653423067305938,349,0.10970179643658724
3,Clarification and specification questions,2,5dCCntGj1wM,24.993920829867857,0.008913264019696618,311,0.08036630491918925
3,Clarification and specification questions,3,zg9IM061rbU,24.01063329195541,0.008562606694167377,253,0.09490368890100953
3,Clarification and specification questions,4,kGXwcm6_ZMU,23.992266859517542,0.008556056907019815,166,0.14453172806938278
3,Clarification and specification questions,5,Q3Oufer38ow,21.47236438681176,0.007657416145692263,190,0.11301244414111451
3,Clarification and specification questions,6,7NsZ2d2Oups,21.33967020119672,0.007610095106375691,273,0.0781672901142737
3,Clarification and specification questions,7,xWRLCWmqT50,21.2650322891642,0.007583477937330739,304,0.06995076410909276
3,Clarification and specification questions,8,WBrL9153zJQ,21.241294155258043,0.007575012508625865,261,0.08138426879409212
3,Clarification and specification questions,9,k5cYjwz-I1s,20.862932496910137,0.007440082203823305,251,0.08311925297573759
3,Clarification and specification questions,10,zmYtFOSPx2o,20.69396294557982,0.007379824742317024,357,0.05796628276072779
3,Clarification and specification questions,11,KltU08BK7Oc,20.173046466772643,0.007194056925437706,228,0.088478273977073
3,Clarification and specification questions,12,bOkQEFi55oU,19.54093171183007,0.006968633881974429,205,0.09532161810648815
3,Clarification and specification questions,13,AN4_mkEfDPE,19.29172284566858,0.006879761694402636,240,0.08038217852361909
3,Clarification and specification questions,14,kGs_biFA87Q,19.08419077643409,0.006805752172718049,355,0.05375828387727913
3,Clarification and specification questions,15,_xA6qOwnYbM,18.6852602120488,0.006663486640627401,176,0.10616625120482272
3,Clarification and specification questions,16,35kJvNW81pU,18.44224665974717,0.006576823809022351,234,0.07881301991344944
3,Clarification and specification questions,17,jYNufQVIFfA,18.42278229982295,0.006569882481962865,393,0.04687730865094898
3,Clarification and specification questions,18,PHeTx5sGL3A,17.93758931616144,0.006396854280692764,237,0.07568603086987949
3,Clarification and specification questions,19,LL6YhT_HkIY,17.800387763633974,0.006347925836455708,204,0.08725680276291164
3,Clarification and specification questions,20,HkHozg0ckWY,17.439622110561842,0.006219270571163056,312,0.055896224713339236
4,"Implementation, cost and how-to questions",1,irytqcJZSps,25.496439934483888,0.011164856014310458,349,0.07305570181800541
4,"Implementation, cost and how-to questions",2,5dCCntGj1wM,24.035774285649293,0.010525232533691468,311,0.07728544786382409
4,"Implementation, cost and how-to questions",3,zg9IM061rbU,21.61850869424352,0.00946671525262233,253,0.08544865096538941
4,"Implementation, cost and how-to questions",4,k5cYjwz-I1s,21.192294720120877,0.009280076738986929,251,0.08443145306821066
4,"Implementation, cost and how-to questions",5,WBrL9153zJQ,20.862778618365095,0.009135782090794718,261,0.07993401769488542
4,"Implementation, cost and how-to questions",6,_xA6qOwnYbM,20.668352219383724,0.009050643037829447,176,0.11743381942831661
4,"Implementation, cost and how-to questions",7,QGrCOzSLBSU,18.218286583108632,0.007977762662180444,245,0.0743603534004434
4,"Implementation, cost and how-to questions",8,7NsZ2d2Oups,17.19462679938476,0.007529503449432098,273,0.06298398095012733
4,"Implementation, cost and how-to questions",9,AN4_mkEfDPE,16.388939596320043,0.0071766941302524485,240,0.06828724831800018
4,"Implementation, cost and how-to questions",10,rRqV8BHE8lY,16.31461906905054,0.007144149273480137,255,0.06397889831000211
4,"Implementation, cost and how-to questions",11,EwSBpgAR9PM,14.962487635704809,0.006552052776693912,40,0.3740621908926202
4,"Implementation, cost and how-to questions",12,EY77sPyVM2c,14.69691298380404,0.006435758001535424,113,0.13006117684782337
4,"Implementation, cost and how-to questions",13,qyZm66j8QU4,14.685691378103034,0.006430844075817832,279,0.0526368866598675
4,"Implementation, cost and how-to questions",14,kGs_biFA87Q,14.091844697837324,0.006170799430495582,355,0.039695337177006546
4,"Implementation, cost and how-to questions",15,xWRLCWmqT50,13.990953708115061,0.006126619404723951,304,0.046022874039852175
4,"Implementation, cost and how-to questions",16,bOkQEFi55oU,13.972322659093694,0.006118460893957207,205,0.06815767150777412
4,"Implementation, cost and how-to questions",17,Ou1CjwflZtM,13.938875955294893,0.006103814628320653,321,0.043423289580357925
4,"Implementation, cost and how-to questions",18,LL6YhT_HkIY,13.923814652691464,0.006097219304605368,204,0.06825399339554639
4,"Implementation, cost and how-to questions",19,UUalCAU4W8g,13.691457604415739,0.005995470472432137,217,0.0630942746747269
4,"Implementation, cost and how-to questions",20,tyTT9jNfnc8,13.533900767395249,0.005926476549989468,269,0.05031189876355111
5,Heat pumps and heating systems,1,GhAKMAcmJFg,102.55692931335464,0.03866932568132986,310,0.33082880423662786
5,Heat pumps and heating systems,2,kGs_biFA87Q,86.46444324341434,0.03260161685826788,355,0.24356181195327983
5,Heat pumps and heating systems,3,wnnwGVBwwvQ,74.80322026434496,0.028204725958361394,231,0.32382346434781367
5,Heat pumps and heating systems,4,tNE5GEePXuk,70.373451453682,0.026534471456989367,234,0.3007412455285555
5,Heat pumps and heating systems,5,OAok8omYqSY,54.98379347529614,0.02073176557963052,132,0.4165438899643647
5,Heat pumps and heating systems,6,AXamAjE0juw,53.49239179298023,0.020169429150865708,217,0.24650871794000107
5,Heat pumps and heating systems,7,KxHcu7JvZwk,49.47703421225945,0.018655429355284175,228,0.21700453601868178
5,Heat pumps and heating systems,8,HkHozg0ckWY,40.01190314742885,0.015086579954147259,312,0.12824327931868224
5,Heat pumps and heating systems,9,0IvGe4JZLSU,37.760016271495985,0.014237500836958622,129,0.29271330443020144
5,Heat pumps and heating systems,10,s-41UF02vrU,37.45106916864688,0.014121011622447598,232,0.16142702227865036
