topic_number,topic_label,topic_type,dominant_video_count,metric,metric_family,valid_n,median,q25,q75
14,Thermostat wiring and smart heating controls,technical_subject,96,duration_minutes,video_context,96,6.333333333333333,1.0166666666666666,12.016666666666667
14,Thermostat wiring and smart heating controls,technical_subject,96,view_count,reach,96,60789.5,30578.5,149099.0
14,Thermostat wiring and smart heating controls,technical_subject,96,like_count,reach,96,453.0,229.75,1112.0
14,Thermostat wiring and smart heating controls,technical_subject,96,api_comment_count,discussion_volume,96,48.0,17.0,93.25
14,Thermostat wiring and smart heating controls,technical_subject,96,likes_per_1000_views,engagement_rate,96,7.682075738681389,5.696574125091006,10.980030219390985
14,Thermostat wiring and smart heating controls,technical_subject,96,api_comments_per_1000_views,discussion_rate,96,0.7622136552137904,0.4085143786694459,1.3194006486560286
14,Thermostat wiring and smart heating controls,technical_subject,96,views_per_day,age_normalised_provisional,96,59.081788258775305,28.243161323551043,132.39027784839087
14,Thermostat wiring and smart heating controls,technical_subject,96,api_comments_per_day,age_normalised_provisional,96,0.0496956550195884,0.02090452289456285,0.09023324493731917
15,Vapour barriers and moisture control,technical_subject,27,duration_minutes,video_context,27,4.95,0.9999999999999999,9.858333333333334
15,Vapour barriers and moisture control,technical_subject,27,view_count,reach,27,42033.0,22331.5,173607.5
15,Vapour barriers and moisture control,technical_subject,27,like_count,reach,27,509.0,162.0,1971.5
15,Vapour barriers and moisture control,technical_subject,27,api_comment_count,discussion_volume,27,46.0,10.0,143.5
15,Vapour barriers and moisture control,technical_subject,27,likes_per_1000_views,engagement_rate,27,10.79436586757156,7.454745730610984,17.694948512339558
15,Vapour barriers and moisture control,technical_subject,27,api_comments_per_1000_views,discussion_rate,27,0.8387947165150385,0.40217506547093834,1.1810023659048454
15,Vapour barriers and moisture control,technical_subject,27,views_per_day,age_normalised_provisional,27,67.14786967418546,16.9329467754375,245.67622328366093
15,Vapour barriers and moisture control,technical_subject,27,api_comments_per_day,age_normalised_provisional,27,0.0547525186158563,0.0108059189303238,0.21954784339335132
16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,25,duration_minutes,video_context,25,1.9166666666666667,0.9166666666666666,7.266666666666667
16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,25,view_count,reach,25,27671.0,3916.0,42631.0
16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,25,like_count,reach,25,124.0,17.0,461.0
16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,25,api_comment_count,discussion_volume,25,7.0,4.0,31.0
16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,25,likes_per_1000_views,engagement_rate,25,8.423712751395177,4.341164453524004,11.970984824885408
16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,25,api_comments_per_1000_views,discussion_rate,25,0.8916629514043691,0.3902982994145525,1.480932987782303
16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,25,views_per_day,age_normalised_provisional,25,29.475132275132275,7.206310679611651,56.1775
16,"Prospective choices, recommendations and alternatives",knowledge_sharing_behaviour,25,api_comments_per_day,age_normalised_provisional,25,0.0148367952522255,0.0034364261168384,0.0285714285714285
