feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present
maybe,1,763,1.7958434344623062,5.018409172935715,0.002521416121990854,0.14040289223463356
actually,1,757,1.7817214677430744,5.026293576459864,0.0025368398788867385,0.14238139489334325
below,1,752,1.7699531621437146,5.032911734302341,0.0023600573012780798,0.13334009914814066
seal,1,747,1.7581848565443547,5.039573984127758,0.0031509646594140334,0.17921691497258907
buy,1,745,1.7534775343046107,5.042251361898474,0.003237675720353988,0.1846431252760804
needs,1,743,1.748770212064867,5.044935927269143,0.0024509024212155946,0.14015005541074962
temp,1,741,1.744062889825123,5.047627718934855,0.0025611271804562115,0.1468483272821094
difference,1,740,1.741709228705251,5.048976336806148,0.002590365451254674,0.1487254823344018
mold,1,734,1.7275872619860193,5.057106462889398,0.0034317147232467804,0.19864204829235144
pumps,1,732,1.7228799397462753,5.059831260215583,0.002569930776278074,0.1491648208903368
thermal,1,727,1.7111116341469155,5.0666759139055495,0.0027141760586055982,0.1586206302640661
probably,1,719,1.6922823451879399,5.077725750092134,0.0022593739722113837,0.13351046169310857
product,1,713,1.678160378468708,5.08609399976265,0.003435759324064236,0.2047336695673453
working,1,713,1.678160378468708,5.08609399976265,0.0026046684158272473,0.15520974331451928
ac,1,712,1.675806717348836,5.0874955416879395,0.0027907745279215175,0.16653319855028303
systems,1,712,1.675806717348836,5.0874955416879395,0.0023264710658443236,0.13882693282939296
far,1,710,1.6710993951090922,5.090304532298994,0.0022656522320510077,0.13557854420162135
needed,1,709,1.6687457339892202,5.091711992066874,0.002367561903770904,0.14187673146052807
ground,1,707,1.6640384117494764,5.094532868408515,0.0026258943501128234,0.15780250813754387
uk,1,706,1.6616847506296044,5.095946296205662,0.002779521039195348,0.1672712611788849
let,1,698,1.6428554616706286,5.107326219868424,0.0024296153873548804,0.1478897836139639
batteries,1,695,1.6357944783110128,5.1116273017678155,0.0029345088589531835,0.1793934933674013
cut,1,694,1.6334408171911408,5.113065116537443,0.002665145874360921,0.16316145931408135
trying,1,690,1.624026172711653,5.118837138334565,0.0022722957125746587,0.13991743179733265
concrete,1,685,1.6122578671122931,5.12609933437635,0.002803643837274846,0.1738954973931334
type,1,685,1.6122578671122931,5.12609933437635,0.002564968671055858,0.15909171376226314
smart,1,683,1.6075505448725493,5.129019044479684,0.0026112787904915826,0.16243836306239512
problems,1,683,1.6075505448725493,5.129019044479684,0.0023060878512151297,0.1434535205484293
