comments_sampled_per_video,eligible_videos,topic_number,topic_label,metric,repetitions,median_rho,mean_rho,rho_q025,rho_q25,rho_q75,rho_q975,minimum_rho,maximum_rho,positive_fraction,negative_fraction,stage_08c_threshold_rho,median_minus_stage_08c_rho
10,591,4,"Implementation, cost and how-to questions",likes_per_1000_views,100,-0.02097584351299432,-0.020261526040659603,-0.08474999718082708,-0.044176069316019806,0.0027037946602569245,0.03565661478244704,-0.12394914365306037,0.0572527357923737,0.28,0.72,-0.0150421593787764,-0.005933684134217921
10,591,4,"Implementation, cost and how-to questions",view_count,100,-0.020755758692165414,-0.02026474075968785,-0.07408213382134904,-0.03925100882826035,-0.002193302075716678,0.04537840290407687,-0.10447546363544478,0.05354190366327343,0.24,0.76,-0.0035550434715882,-0.017200715220577215
10,591,4,"Implementation, cost and how-to questions",views_per_day,100,-0.04809387027974302,-0.048660865755493415,-0.10274057785848453,-0.07026346780317622,-0.02979344593122914,0.01649971116812581,-0.11393300526757341,0.028491276106101103,0.06,0.94,-0.0434112465730808,-0.004682623706662219
10,591,5,Heat pumps and heating systems,api_comment_count,100,0.007248918837027258,0.008645174583157472,-0.019400756234214996,-0.004865323741590808,0.019553964713981672,0.044120485641389685,-0.031964758472003404,0.057916764739952116,0.62,0.38,0.0576698525382873,-0.05042093370126004
10,591,5,Heat pumps and heating systems,api_comments_per_1000_views,100,0.2860516977464366,0.2870610873883749,0.26058596703940734,0.2749037223207742,0.2980141206420637,0.31889648200330717,0.2583836248048576,0.3262114438146371,1.0,0.0,0.3072057326271771,-0.021154034880740524
10,591,5,Heat pumps and heating systems,api_comments_per_day,100,0.03430555335365358,0.03595330119031317,0.0015228781248249103,0.02380269627143478,0.051008063356096645,0.06868968184737277,-0.000918569485336783,0.07499277680007169,0.98,0.02,0.0827076415301587,-0.04840208817650511
10,591,5,Heat pumps and heating systems,duration_minutes,100,0.2138996067131444,0.21364204970070677,0.18122422879055938,0.2034352176920487,0.22422519863581766,0.24736157805065093,0.16502981314354273,0.2600852053874489,1.0,0.0,0.2486148188682753,-0.0347152121551309
10,591,5,Heat pumps and heating systems,like_count,100,-0.14065505586108454,-0.14067108341866313,-0.17653298727272082,-0.15325520871044346,-0.1274517857320488,-0.10610968533139911,-0.1800477970306994,-0.08274208412074481,0.0,1.0,-0.1090332940965183,-0.03162176176456624
10,591,5,Heat pumps and heating systems,likes_per_1000_views,100,0.1604295206980288,0.15967659944132012,0.13128415781571598,0.14777064943125845,0.17018058824538315,0.18908098881798294,0.12197199586175851,0.1953414067575326,1.0,0.0,0.1905974030539473,-0.030167882355918496
10,591,5,Heat pumps and heating systems,view_count,100,-0.21125012504560498,-0.21118024517860895,-0.24580710696817137,-0.22188977976163488,-0.19850327043086627,-0.17626243971552374,-0.2526107364778349,-0.15125062578416665,0.0,1.0,-0.1913726906354571,-0.019877434410147887
10,591,5,Heat pumps and heating systems,views_per_day,100,-0.1777269009075314,-0.1777155736255266,-0.21405323463047796,-0.1874323112787283,-0.1669425118995723,-0.14777149153900418,-0.21700874434324766,-0.13157675057747611,0.0,1.0,-0.1546061492989768,-0.02312075160855459
10,591,6,"Praise, gratitude and social endorsement",api_comment_count,100,-0.0276174230857359,-0.02936135311013371,-0.07539003705045648,-0.042518245723697584,-0.015053401051271903,0.0034409314099911347,-0.08724382900875666,0.03653254456666881,0.08,0.92,-0.0019488347105399,-0.025668588375196
10,591,6,"Praise, gratitude and social endorsement",api_comments_per_1000_views,100,0.22407585146256775,0.22163787787509037,0.18289942685468047,0.20528309521357305,0.2373375260541787,0.25513899474648577,0.1743803898448353,0.28807027773168753,1.0,0.0,0.2822753580389303,-0.058199506576362525
10,591,6,"Praise, gratitude and social endorsement",api_comments_per_day,100,-0.14495806575272058,-0.144083057575417,-0.18686516025515276,-0.15837542706360122,-0.13101752044858167,-0.10651744229782176,-0.19279934520555914,-0.06799236253152893,0.0,1.0,-0.1500158702107424,0.005057804458021814
10,591,6,"Praise, gratitude and social endorsement",duration_minutes,100,0.39613649402609563,0.39368674178009655,0.34740036791317125,0.3807327410296892,0.40968413691665007,0.4330794565166202,0.33307537905450413,0.4617734609745077,1.0,0.0,0.5022851026476071,-0.10614860862151143
10,591,6,"Praise, gratitude and social endorsement",like_count,100,-0.13686034645642892,-0.13812317167192037,-0.1784472721179787,-0.15121198278911052,-0.12531595598842743,-0.10186527725080505,-0.19934481061321604,-0.09843546846095812,0.0,1.0,-0.1471839985363271,0.010323652079898188
10,591,6,"Praise, gratitude and social endorsement",likes_per_1000_views,100,0.09902586481234758,0.09753342481419637,0.053499776920534904,0.08146015454562838,0.11489568624413865,0.1361901979464391,0.043631686057319014,0.14174147394720257,1.0,0.0,0.1272799621678074,-0.02825409735545982
