topic_number,topic_label,metric,rho_all_nmf_videos,valid_n_all,rho_min_10_comments,valid_n_min_10,rho_change_min10_minus_all,absolute_rho_change
12,Roof and attic ventilation and airflow,api_comments_per_1000_views,0.0892107125548611,1158,-0.05886278604165552,591,-0.1480734985965166,0.1480734985965166
12,Roof and attic ventilation and airflow,views_per_day,0.14911414832652228,1158,0.11586509507011958,591,-0.033249053256402705,0.033249053256402705
12,Roof and attic ventilation and airflow,api_comments_per_day,0.23832807632335393,1158,0.09602302982669497,591,-0.14230504649665895,0.14230504649665895
13,"Wall, cavity and floor insulation",duration_minutes,0.02765720628482007,1158,-0.0735767359250545,591,-0.10123394220987457,0.10123394220987457
13,"Wall, cavity and floor insulation",view_count,0.06578563450624814,1158,-0.011429489093951925,591,-0.07721512360020007,0.07721512360020007
13,"Wall, cavity and floor insulation",like_count,0.08874154064270155,1158,0.011446492379851564,591,-0.07729504826284998,0.07729504826284998
13,"Wall, cavity and floor insulation",api_comment_count,0.14347169709254243,1158,-0.0124324231949477,591,-0.15590412028749012,0.15590412028749012
13,"Wall, cavity and floor insulation",likes_per_1000_views,0.039492909048846205,1158,-0.03864339473680409,591,-0.07813630378565029,0.07813630378565029
13,"Wall, cavity and floor insulation",api_comments_per_1000_views,0.08879226414949609,1158,-0.01955803200638317,591,-0.10835029615587927,0.10835029615587927
13,"Wall, cavity and floor insulation",views_per_day,0.042912781918230065,1158,0.004991530799767231,591,-0.03792125111846283,0.03792125111846283
13,"Wall, cavity and floor insulation",api_comments_per_day,0.1154288674954292,1158,0.007430427936225657,591,-0.10799843955920355,0.10799843955920355
14,Thermostat wiring and smart heating controls,duration_minutes,0.2022086518550934,1158,0.14753460487950476,591,-0.05467404697558864,0.05467404697558864
14,Thermostat wiring and smart heating controls,view_count,0.16509447856206125,1158,-0.027285484744832583,591,-0.19237996330689383,0.19237996330689383
14,Thermostat wiring and smart heating controls,like_count,0.17828877767955914,1158,-0.054025103890704855,591,-0.232313881570264,0.232313881570264
14,Thermostat wiring and smart heating controls,api_comment_count,0.23809880958138518,1158,-0.018608759843096668,591,-0.25670756942448186,0.25670756942448186
14,Thermostat wiring and smart heating controls,likes_per_1000_views,0.04597387846543565,1158,-0.00616347473855732,591,-0.05213735320399297,0.05213735320399297
14,Thermostat wiring and smart heating controls,api_comments_per_1000_views,0.054338950249052706,1158,0.029303443080006784,591,-0.02503550716904592,0.02503550716904592
14,Thermostat wiring and smart heating controls,views_per_day,0.1384111256946246,1158,-0.10356167059255761,591,-0.2419727962871822,0.2419727962871822
14,Thermostat wiring and smart heating controls,api_comments_per_day,0.20080723323823604,1158,-0.10177054581898426,591,-0.3025777790572203,0.3025777790572203
15,Vapour barriers and moisture control,duration_minutes,0.053129584776521695,1158,-0.08879226532478382,591,-0.1419218501013055,0.1419218501013055
15,Vapour barriers and moisture control,view_count,0.21782191218492994,1158,0.11179592652964415,591,-0.10602598565528579,0.10602598565528579
15,Vapour barriers and moisture control,like_count,0.2254172137662387,1158,0.09546380436814275,591,-0.12995340939809594,0.12995340939809594
15,Vapour barriers and moisture control,api_comment_count,0.24155972198190254,1158,0.023139792551761,591,-0.21841992943014155,0.21841992943014155
15,Vapour barriers and moisture control,likes_per_1000_views,0.06003584190817467,1158,-0.08085752894256736,591,-0.14089337085074202,0.14089337085074202
15,Vapour barriers and moisture control,api_comments_per_1000_views,-0.020892209519889713,1158,-0.1633644614243427,591,-0.14247225190445298,0.14247225190445298
15,Vapour barriers and moisture control,views_per_day,0.22289017856702967,1158,0.12467573613362135,591,-0.09821444243340832,0.09821444243340832
15,Vapour barriers and moisture control,api_comments_per_day,0.2332610476424673,1158,0.041284115139832246,591,-0.19197693250263506,0.19197693250263506
16,"Prospective choices, recommendations and alternatives",duration_minutes,0.28901094005650174,1158,0.2822657001476555,591,-0.0067452399088462345,0.0067452399088462345
16,"Prospective choices, recommendations and alternatives",view_count,0.112735057446454,1158,-0.1355148575401522,591,-0.2482499149866062,0.2482499149866062
16,"Prospective choices, recommendations and alternatives",like_count,0.20054169200501987,1158,-0.03247827600519061,591,-0.23301996801021047,0.23301996801021047
16,"Prospective choices, recommendations and alternatives",api_comment_count,0.32964205920211664,1158,0.0871852614720662,591,-0.24245679773005044,0.24245679773005044
16,"Prospective choices, recommendations and alternatives",likes_per_1000_views,0.251950316704953,1158,0.22608791950579418,591,-0.02586239719915881,0.02586239719915881
16,"Prospective choices, recommendations and alternatives",api_comments_per_1000_views,0.28021249730495396,1158,0.28297265905671654,591,0.00276016175176258,0.00276016175176258
16,"Prospective choices, recommendations and alternatives",views_per_day,0.1263169144587805,1158,-0.09043549485991195,591,-0.21675240931869244,0.21675240931869244
16,"Prospective choices, recommendations and alternatives",api_comments_per_day,0.32909958274709544,1158,0.1086408356218216,591,-0.22045874712527386,0.22045874712527386
