comments_sampled_per_video,repetition,seed,eligible_videos,topic_number,topic_label,metric,spearman_rho
10,1,21260829,591,16,"Prospective choices, recommendations and alternatives",view_count,-0.08743531107870309
10,1,21260829,591,16,"Prospective choices, recommendations and alternatives",like_count,-0.02297357144706485
10,1,21260829,591,16,"Prospective choices, recommendations and alternatives",api_comment_count,0.048225316686342605
10,1,21260829,591,16,"Prospective choices, recommendations and alternatives",likes_per_1000_views,0.13012122294685655
10,1,21260829,591,16,"Prospective choices, recommendations and alternatives",api_comments_per_1000_views,0.1684523417647491
10,1,21260829,591,16,"Prospective choices, recommendations and alternatives",views_per_day,-0.05749127101949466
10,1,21260829,591,16,"Prospective choices, recommendations and alternatives",api_comments_per_day,0.06862085377967653
10,2,21260830,591,1,Situated household retrofit experience and building context,duration_minutes,-0.043625336293230066
10,2,21260830,591,1,Situated household retrofit experience and building context,view_count,0.034951552257755474
10,2,21260830,591,1,Situated household retrofit experience and building context,like_count,0.08038437330095541
10,2,21260830,591,1,Situated household retrofit experience and building context,api_comment_count,0.0775631971057426
10,2,21260830,591,1,Situated household retrofit experience and building context,likes_per_1000_views,0.07019492227241055
10,2,21260830,591,1,Situated household retrofit experience and building context,api_comments_per_1000_views,0.030953770599301014
10,2,21260830,591,1,Situated household retrofit experience and building context,views_per_day,0.053278855298557616
10,2,21260830,591,1,Situated household retrofit experience and building context,api_comments_per_day,0.09917910898939893
10,2,21260830,591,2,Spray foam and foam insulation,duration_minutes,-0.1981870005330531
10,2,21260830,591,2,Spray foam and foam insulation,view_count,0.14469133771615028
10,2,21260830,591,2,Spray foam and foam insulation,like_count,0.12859270170881845
10,2,21260830,591,2,Spray foam and foam insulation,api_comment_count,-0.03106691281448708
10,2,21260830,591,2,Spray foam and foam insulation,likes_per_1000_views,-0.08189297985038045
10,2,21260830,591,2,Spray foam and foam insulation,api_comments_per_1000_views,-0.2535564462101026
10,2,21260830,591,2,Spray foam and foam insulation,views_per_day,0.17782201673322734
10,2,21260830,591,2,Spray foam and foam insulation,api_comments_per_day,0.010168636353360735
10,2,21260830,591,3,Clarification and specification questions,duration_minutes,-0.1199321491283938
10,2,21260830,591,3,Clarification and specification questions,view_count,0.04162407723875066
10,2,21260830,591,3,Clarification and specification questions,like_count,-0.03807833278232574
10,2,21260830,591,3,Clarification and specification questions,api_comment_count,-0.11561211819449821
10,2,21260830,591,3,Clarification and specification questions,likes_per_1000_views,-0.13327863809263493
10,2,21260830,591,3,Clarification and specification questions,api_comments_per_1000_views,-0.16599462424192882
10,2,21260830,591,3,Clarification and specification questions,views_per_day,0.0030260366227515293
10,2,21260830,591,3,Clarification and specification questions,api_comments_per_day,-0.12934786393636266
10,2,21260830,591,4,"Implementation, cost and how-to questions",duration_minutes,0.024893384258340607
10,2,21260830,591,4,"Implementation, cost and how-to questions",view_count,-0.036433136133640305
10,2,21260830,591,4,"Implementation, cost and how-to questions",like_count,-0.051285786322961144
10,2,21260830,591,4,"Implementation, cost and how-to questions",api_comment_count,-0.07365880146629446
10,2,21260830,591,4,"Implementation, cost and how-to questions",likes_per_1000_views,-0.0498694218870401
10,2,21260830,591,4,"Implementation, cost and how-to questions",api_comments_per_1000_views,-0.030970259944509828
10,2,21260830,591,4,"Implementation, cost and how-to questions",views_per_day,-0.08675853689041456
10,2,21260830,591,4,"Implementation, cost and how-to questions",api_comments_per_day,-0.1365890538780216
10,2,21260830,591,5,Heat pumps and heating systems,duration_minutes,0.2009305742793533
10,2,21260830,591,5,Heat pumps and heating systems,view_count,-0.18423374040077178
10,2,21260830,591,5,Heat pumps and heating systems,like_count,-0.11347884595305134
10,2,21260830,591,5,Heat pumps and heating systems,api_comment_count,0.01998443726456844
10,2,21260830,591,5,Heat pumps and heating systems,likes_per_1000_views,0.16118332740589017
10,2,21260830,591,5,Heat pumps and heating systems,api_comments_per_1000_views,0.26057103671257587
10,2,21260830,591,5,Heat pumps and heating systems,views_per_day,-0.15218111984998658
10,2,21260830,591,5,Heat pumps and heating systems,api_comments_per_day,0.04946930838854314
10,2,21260830,591,6,"Praise, gratitude and social endorsement",duration_minutes,0.3781024116798152
10,2,21260830,591,6,"Praise, gratitude and social endorsement",view_count,-0.16013066823066757
10,2,21260830,591,6,"Praise, gratitude and social endorsement",like_count,-0.09883778311153299
10,2,21260830,591,6,"Praise, gratitude and social endorsement",api_comment_count,0.011733004717853743
10,2,21260830,591,6,"Praise, gratitude and social endorsement",likes_per_1000_views,0.12126990700667312
10,2,21260830,591,6,"Praise, gratitude and social endorsement",api_comments_per_1000_views,0.2235889594251011
10,2,21260830,591,6,"Praise, gratitude and social endorsement",views_per_day,-0.24218472007882363
10,2,21260830,591,6,"Praise, gratitude and social endorsement",api_comments_per_day,-0.0934526424454684
10,2,21260830,591,7,"Alternative methods, challenges and ""why"" questions",duration_minutes,-0.07667947701269752
