video_id,topic_01_relative_weight,topic_02_relative_weight,topic_03_relative_weight,topic_04_relative_weight,topic_05_relative_weight,topic_06_relative_weight,topic_07_relative_weight,topic_08_relative_weight,topic_09_relative_weight,topic_10_relative_weight,topic_11_relative_weight,topic_12_relative_weight,topic_13_relative_weight,topic_14_relative_weight,topic_15_relative_weight,topic_16_relative_weight,modelled_comment_count,dominant_topic_number,secondary_topic_number,dominant_topic_label,dominant_relative_weight,secondary_relative_weight,dominance_margin,effective_topic_count,creator_type,video_type,_video_publication_date,publication_year,duration_minutes,view_count,like_count,api_comment_count,likes_per_1000_views,api_comments_per_1000_views,views_per_day,api_comments_per_day
0IvGe4JZLSU,0.1113844518643507,0.0036235196901591,0.0555730575863391,0.0621177189542922,0.2927133044302014,0.1093617982274559,0.0291523169045378,0.067054317452788,0.0419855595911664,0.0352980792304928,0.0323670598030187,0.032528092031402,0.0113089543266871,0.0316864242490653,0.0113349026286738,0.072510443029369,129,5,1,Heat pumps and heating systems,0.2927133044302014,0.1113844518643507,0.1813288525658507,10.57694399063241,installer_tradesperson,how_to_installation_demo,2022-12-19 21:20:54+00:00,2022,11.883333333333333,100147,2031,539,20.280188123458515,5.382088330154673,76.33155487804878,0.4108231707317073
0M9QzdPhm58,0.0447299109460848,0.0009878956765593,0.0663318804751776,0.0918665754515584,0.0336000675554939,0.0706539436053057,0.0473644386275548,0.0241313441357128,0.0965103998939272,0.0283642912166863,0.0437293387356217,0.0235979475708297,0.0086655343394057,0.3941661438719286,0.0039435953351544,0.0213566925629985,83,14,9,Thermostat wiring and smart heating controls,0.3941661438719286,0.0965103998939272,0.2976557439780013,8.53979299248764,diy_renovator_homeowner,how_to_installation_demo,2023-05-07 22:00:01+00:00,2023,20.016666666666666,354633,2380,208,6.711163371711036,0.5865218408890318,302.3299232736573,0.1773231031543052
0OsM6Ao-kSA,0.0253258699884735,0.0151774037524044,0.0083574894645448,0.0593277891526048,0.1512820942693988,0.0603364491486848,0.0375732812787448,0.0268476394395322,0.1129930473913797,0.0247189812036425,0.003184366148021,0.0111802175278178,0.0013727842105557,0.3670212222155635,0.0421993387464155,0.0531020260622153,5,14,5,Thermostat wiring and smart heating controls,0.3670212222155635,0.1512820942693988,0.2157391279461647,8.269251027776791,installer_tradesperson,how_to_installation_demo,2024-05-23 20:49:45+00:00,2024,26.05,19341,166,9,8.582803371076986,0.4653327128897161,24.45132743362832,0.011378002528445
0RQFr4QRb2s,0.1193049915778103,0.0413323490495634,0.0487729769094844,0.0554374400698576,0.0072961876699559,0.04628689251737,0.0479127075953541,0.0451746506825043,0.033860347827414,0.0636482861969118,0.0297110087483819,0.1327418101624698,0.180040598908718,0.0170149571005838,0.065457350795046,0.0660074441885739,38,13,12,"Wall, cavity and floor insulation",0.180040598908718,0.1327418101624698,0.0472987887462482,12.871121920169251,diy_renovator_homeowner,practical_advice_explainer,2023-04-22 16:13:41+00:00,2023,0.9833333333333332,180081,2282,151,12.672075343873036,0.8385115586874795,151.58333333333334,0.1271043771043771
0TsN6h2UH4Q,0.1263622103921228,0.004939149143009,0.0685019701971005,0.0724096360053358,0.0211353501789431,0.0961800626956799,0.0540340581899,0.010605415822559,0.0441481732341544,0.026444062665624,0.0070971144918649,0.3294624882143336,0.0286727864602714,0.0430077964581138,0.005510414659778,0.0614893111912092,18,12,1,Roof and attic ventilation and airflow,0.3294624882143336,0.1263622103921228,0.2031002778222108,9.45016416694512,builder_contractor,how_to_installation_demo,2025-09-02 17:18:14+00:00,2025,2.9833333333333334,100654,1681,79,16.700776918950066,0.7848669700160947,310.6604938271605,0.2438271604938271
0WgfnhWOfvI,0.163419976451595,0.0083892679592972,0.0380533530265204,0.0288959589156406,0.0788874504858647,0.0134000746755852,0.0545500844312518,0.1526652329300969,0.0450169969276717,0.0672932828029758,0.0053399721053157,0.09043993557749,0.1541195475056875,0.0067658101076432,0.0595581537471607,0.0332049023502029,51,1,13,Situated household retrofit experience and building context,0.163419976451595,0.1541195475056875,0.0093004289459075,11.429636684405729,builder_contractor,how_to_installation_demo,2024-02-21 11:06:22+00:00,2024,0.85,157252,1519,138,9.659654567191517,0.8775723043268131,178.08833522083805,0.1562853907134767
0WzU-f_ggm4,0.0653973261217627,0.0012699093625706,0.3047205432780204,0.0811426751999871,0.0,0.0409997684189936,0.0133044112427756,0.0282874464060847,0.0,0.0930990617892982,0.0129863386285502,0.2154129960477607,0.0686725635700356,0.035268554317988,0.0362109586221404,0.0032274469940317,3,3,12,Clarification and specification questions,0.3047205432780204,0.2154129960477607,0.0893075472302596,8.09084731800939,installer_tradesperson,how_to_installation_demo,2024-12-27 18:25:44+00:00,2024,2.316666666666667,2344,30,9,12.79863481228669,3.839590443686007,4.090750436300175,0.0157068062827225
0mG9u6qrglA,0.23980189618408,0.0371410878239067,0.0402101962596821,0.0347665782979277,0.0470419819149744,0.1001570094449978,0.0109048491814451,0.0188235789047081,0.0440834093120124,0.0004697560344809,0.0015881611959592,0.0857361193875656,0.1258310781437642,0.0046065271867279,0.1139235835009029,0.0949141872268644,8,1,13,Situated household retrofit experience and building context,0.23980189618408,0.1258310781437642,0.1139708180403157,10.254161374134586,builder_contractor,problem_warning_mistakes,2025-09-13 14:00:00+00:00,2025,11.016666666666667,14415,467,19,32.396808879639266,1.3180714533472078,46.054313099041536,0.060702875399361
0oDLwBZurp8,0.1292323452539955,0.060946313986915,0.0352505091303915,0.026924465655036,0.042811903783323,0.0682148675187888,0.0256190839866827,0.0267238203429794,0.0402834225666241,0.0301664878976287,0.0182491114389611,0.0772359294758349,0.2184576262158795,0.0098176029996237,0.112360142967897,0.0777063667794384,344,13,1,"Wall, cavity and floor insulation",0.2184576262158795,0.1292323452539955,0.089225280961884,12.020717002242556,builder_contractor,project_walkthrough,2022-08-05 17:00:00+00:00,2022,15.216666666666669,183771,7142,872,38.8635856582377,4.7450359414706345,126.91367403314918,0.6022099447513812
0pOjJ-w733E,0.0906038538118357,0.0325418078640788,0.0503346266319206,0.0460253113121174,0.0023383677514228,0.1466071976133313,0.0285823180153238,0.0091553218385966,0.0636592014079472,0.0120883326951948,0.0653487054470943,0.043275661723098,0.2283557953102418,0.006296162303711,0.1090962931713677,0.0656910431027177,29,13,6,"Wall, cavity and floor insulation",0.2283557953102418,0.1466071976133313,0.0817485976969105,10.957220697531616,training_educational,how_to_installation_demo,2024-01-13 16:00:00+00:00,2024,12.833333333333334,28074,756,57,26.9288309467835,2.0303483650352643,30.44902386117137,0.061822125813449
