dominant_topic_number,dominant_topic_label,secondary_topic_number,secondary_topic_label,comment_count,share_of_all_comments,share_within_dominant_topic,mean_secondary_relative_weight,median_secondary_relative_weight,mean_dominance_margin
16,"Prospective choices, recommendations and alternatives",5,Heat pumps and heating systems,151,0.0035577126970289565,0.056112969156447416,0.23383857364014585,0.23404686794455123,0.18698128581886062
15,Vapour barriers and moisture control,16,"Prospective choices, recommendations and alternatives",148,0.003487029663313149,0.0925,0.18457113041433013,0.19476230180069226,0.400352264745302
9,Performance checking and troubleshooting,5,Heat pumps and heating systems,147,0.003463468652074547,0.060369609856262836,0.22735376024210172,0.2323062970625044,0.28951101340177987
7,"Alternative methods, challenges and ""why"" questions",9,Performance checking and troubleshooting,145,0.0034163466295973424,0.08266818700114024,0.22213177422192248,0.24001501646339343,0.30699234681366433
5,Heat pumps and heating systems,4,"Implementation, cost and how-to questions",143,0.0033692246071201377,0.048229342327150086,0.2430906493944855,0.23844039984768492,0.20112644241495095
14,Thermostat wiring and smart heating controls,8,"Solar PV, batteries and power systems",143,0.0033692246071201377,0.07759088442756376,0.18609223783512083,0.18559053784396662,0.31083619196416296
9,Performance checking and troubleshooting,8,"Solar PV, batteries and power systems",138,0.0032514195509271257,0.056673511293634495,0.20990974549521965,0.21467211486750326,0.32409096172796176
14,Thermostat wiring and smart heating controls,4,"Implementation, cost and how-to questions",137,0.0032278585396885236,0.07433532284319046,0.2779293309015534,0.2644027233319302,0.2089032032788643
1,Situated household retrofit experience and building context,3,Clarification and specification questions,137,0.0032278585396885236,0.02683643486777669,0.19217223924561017,0.20057221534283706,0.315718796848639
12,Roof and attic ventilation and airflow,4,"Implementation, cost and how-to questions",136,0.003204297528449921,0.03352230712349026,0.26448157756199614,0.26147766363094316,0.18986421127666464
12,Roof and attic ventilation and airflow,2,Spray foam and foam insulation,132,0.0031100534834955116,0.03253635691397584,0.2517784957627664,0.2473510785703324,0.18937355042932963
10,"Implementation follow-up, outcomes and retrospective questions",13,"Wall, cavity and floor insulation",128,0.0030158094385411022,0.07467911318553092,0.2559108676783079,0.25905474246401017,0.19267067509697566
13,"Wall, cavity and floor insulation",2,Spray foam and foam insulation,128,0.0030158094385411022,0.039083969465648856,0.24262344630123395,0.23935945030641304,0.22834622763156665
14,Thermostat wiring and smart heating controls,3,Clarification and specification questions,127,0.0029922484273024997,0.06890938686923494,0.2783186775083461,0.27971857446345433,0.23302395531957398
4,"Implementation, cost and how-to questions",5,Heat pumps and heating systems,127,0.0029922484273024997,0.05360911777121148,0.2293749669708023,0.2410534259717104,0.2964938737390276
9,Performance checking and troubleshooting,6,"Praise, gratitude and social endorsement",126,0.0029686874160638975,0.05174537987679671,0.2425180101244053,0.2423042294012386,0.21397327769385546
4,"Implementation, cost and how-to questions",3,Clarification and specification questions,125,0.002945126404825295,0.052764879696074296,0.31468307767039516,0.313004461607367,0.069417721458845
8,"Solar PV, batteries and power systems",7,"Alternative methods, challenges and ""why"" questions",124,0.002921565393586693,0.036470588235294116,0.2278064294264876,0.2165691227810072,0.2477569734945329
3,Clarification and specification questions,9,Performance checking and troubleshooting,123,0.0028980043823480903,0.04383464005702067,0.17544312861809444,0.15078350808882743,0.3761133636635773
5,Heat pumps and heating systems,13,"Wall, cavity and floor insulation",122,0.002874443371109488,0.04114671163575042,0.2204878502371385,0.2261961241294319,0.2979860807462613
16,"Prospective choices, recommendations and alternatives",9,Performance checking and troubleshooting,121,0.0028508823598708856,0.044964697138610184,0.22294848315024307,0.21545662669680435,0.24445311446856552
1,Situated household retrofit experience and building context,4,"Implementation, cost and how-to questions",118,0.0027801993261550788,0.023114593535749267,0.19973468382660217,0.217928714995064,0.2886527896784097
1,Situated household retrofit experience and building context,11,"Product sourcing, access and location questions",118,0.0027801993261550788,0.023114593535749267,0.19481707774077725,0.20666046508397987,0.33390500296482967
2,Spray foam and foam insulation,15,Vapour barriers and moisture control,114,0.002685955281200669,0.06968215158924206,0.20239424653014793,0.19203864268753043,0.3211848917623193
12,Roof and attic ventilation and airflow,10,"Implementation follow-up, outcomes and retrospective questions",112,0.0026388332587234642,0.027606605866403747,0.24320894978142493,0.23993840048207637,0.1727716578632974
13,"Wall, cavity and floor insulation",5,Heat pumps and heating systems,111,0.002615272247484862,0.03389312977099237,0.23419197675258768,0.24031994865137887,0.2285529191020935
8,"Solar PV, batteries and power systems",10,"Implementation follow-up, outcomes and retrospective questions",110,0.0025917112362462595,0.03235294117647059,0.22767550977174783,0.21511897316371253,0.25415128765485895
12,Roof and attic ventilation and airflow,7,"Alternative methods, challenges and ""why"" questions",110,0.0025917112362462595,0.027113630761646537,0.2256453525222684,0.21764321614020696,0.21686039527795561
7,"Alternative methods, challenges and ""why"" questions",10,"Implementation follow-up, outcomes and retrospective questions",108,0.002544589213769055,0.06157354618015964,0.3440610087940535,0.3435642900826342,0.07569339588675969
4,"Implementation, cost and how-to questions",9,Performance checking and troubleshooting,108,0.002544589213769055,0.045588856057408186,0.2551179568905239,0.2442542127031895,0.2045040471384972
12,Roof and attic ventilation and airflow,11,"Product sourcing, access and location questions",107,0.0025210282025304527,0.026374168104510723,0.23530615812399788,0.23465019212038052,0.18155510133014127
15,Vapour barriers and moisture control,6,"Praise, gratitude and social endorsement",106,0.00249746719129185,0.06625,0.23826986159079033,0.23239154887602553,0.23946388958283665
13,"Wall, cavity and floor insulation",8,"Solar PV, batteries and power systems",106,0.00249746719129185,0.03236641221374046,0.1484342360468229,0.1380783260728326,0.45669448504064736
6,"Praise, gratitude and social endorsement",11,"Product sourcing, access and location questions",104,0.0024503451688146455,0.027733333333333332,0.22214124490945256,0.2436291728113668,0.25107257630050445
2,Spray foam and foam insulation,9,Performance checking and troubleshooting,104,0.0024503451688146455,0.06356968215158924,0.19478331007516836,0.18083749772897756,0.35172668246024
5,Heat pumps and heating systems,7,"Alternative methods, challenges and ""why"" questions",103,0.0024267841575760433,0.03473861720067454,0.2191637210887858,0.21604212987424076,0.2516349137437214
7,"Alternative methods, challenges and ""why"" questions",6,"Praise, gratitude and social endorsement",102,0.0024032231463374408,0.05815279361459521,0.24417282501987797,0.24895150206732813,0.26501005491001145
10,"Implementation follow-up, outcomes and retrospective questions",12,Roof and attic ventilation and airflow,102,0.0024032231463374408,0.059509918319719954,0.24004074434829775,0.22647514842634986,0.24620444715673928
10,"Implementation follow-up, outcomes and retrospective questions",7,"Alternative methods, challenges and ""why"" questions",101,0.0023796621350988386,0.058926487747957994,0.2954329976303368,0.27358004644003536,0.13099659125883614
13,"Wall, cavity and floor insulation",4,"Implementation, cost and how-to questions",101,0.0023796621350988386,0.03083969465648855,0.24007305215321917,0.2467155218226284,0.22545020840368393
7,"Alternative methods, challenges and ""why"" questions",5,Heat pumps and heating systems,99,0.0023325401126216335,0.056442417331812995,0.21447834366885682,0.22249024104281406,0.3632500368259329
10,"Implementation follow-up, outcomes and retrospective questions",16,"Prospective choices, recommendations and alternatives",98,0.0023089791013830314,0.057176196032672114,0.22460282814971205,0.22628410318346676,0.2058530540944509
11,"Product sourcing, access and location questions",12,Roof and attic ventilation and airflow,94,0.002214735056428622,0.09012464046021093,0.2395004495758452,0.24542976594926624,0.29937111213102546
1,Situated household retrofit experience and building context,10,"Implementation follow-up, outcomes and retrospective questions",94,0.002214735056428622,0.01841332027424094,0.21857737374144418,0.22589443830612044,0.23777352198467355
11,"Product sourcing, access and location questions",10,"Implementation follow-up, outcomes and retrospective questions",93,0.0021911740451900194,0.08916586768935762,0.37297699438038395,0.3727474924926508,0.04190860484530496
3,Clarification and specification questions,15,Vapour barriers and moisture control,93,0.0021911740451900194,0.03314326443335709,0.1233526806977555,0.1014756210868081,0.5578978399809246
11,"Product sourcing, access and location questions",3,Clarification and specification questions,92,0.0021676130339514173,0.08820709491850431,0.29823238453348105,0.3074370846745814,0.10941900838244045
2,Spray foam and foam insulation,6,"Praise, gratitude and social endorsement",92,0.0021676130339514173,0.05623471882640587,0.23096190164556407,0.22990815400077294,0.29964068610363176
5,Heat pumps and heating systems,11,"Product sourcing, access and location questions",92,0.0021676130339514173,0.03102866779089376,0.22719648334749387,0.21925781485996504,0.23821905613127806
7,"Alternative methods, challenges and ""why"" questions",8,"Solar PV, batteries and power systems",92,0.0021676130339514173,0.052451539338654506,0.21848740500838046,0.22216671283913977,0.36057381641777025
11,"Product sourcing, access and location questions",16,"Prospective choices, recommendations and alternatives",92,0.0021676130339514173,0.08820709491850431,0.15859053800536735,0.16932615933766196,0.4810857683896547
15,Vapour barriers and moisture control,7,"Alternative methods, challenges and ""why"" questions",91,0.0021440520227128147,0.056875,0.23459745036634438,0.20764448467480434,0.16723912472800018
7,"Alternative methods, challenges and ""why"" questions",14,Thermostat wiring and smart heating controls,90,0.0021204910114742126,0.05131128848346636,0.2138106782599645,0.21108468056354648,0.3825884395918641
14,Thermostat wiring and smart heating controls,11,"Product sourcing, access and location questions",89,0.00209693000023561,0.04829083016820401,0.22437170600293538,0.22991046159481812,0.3091703313337145
7,"Alternative methods, challenges and ""why"" questions",15,Vapour barriers and moisture control,89,0.00209693000023561,0.05074116305587229,0.14819926393390512,0.13764781609486043,0.3913296647782128
13,"Wall, cavity and floor insulation",10,"Implementation follow-up, outcomes and retrospective questions",87,0.0020498079777584053,0.026564885496183206,0.2572690463584513,0.2562376598633515,0.1630622351710345
5,Heat pumps and heating systems,10,"Implementation follow-up, outcomes and retrospective questions",87,0.0020498079777584053,0.029342327150084318,0.23364022729550948,0.22299354828081946,0.1754006658556623
13,"Wall, cavity and floor insulation",11,"Product sourcing, access and location questions",86,0.002026246966519803,0.026259541984732824,0.2290486474540751,0.22838114002113558,0.17087410579760887
16,"Prospective choices, recommendations and alternatives",14,Thermostat wiring and smart heating controls,86,0.002026246966519803,0.031958379784466744,0.2139977384617758,0.21427487933213785,0.27210822950062286
6,"Praise, gratitude and social endorsement",7,"Alternative methods, challenges and ""why"" questions",85,0.0020026859552812006,0.02266666666666667,0.25097464543219017,0.2683182999811107,0.24259540997629456
16,"Prospective choices, recommendations and alternatives",7,"Alternative methods, challenges and ""why"" questions",85,0.0020026859552812006,0.031586770717205497,0.19811825617348738,0.18089321481964848,0.2571295331849723
13,"Wall, cavity and floor insulation",7,"Alternative methods, challenges and ""why"" questions",84,0.0019791249440425985,0.02564885496183206,0.18520548712240129,0.19806806072247868,0.3128386751010798
15,Vapour barriers and moisture control,2,Spray foam and foam insulation,81,0.0019084419103267912,0.050625,0.23373646947854218,0.22572582215758577,0.2419505340849577
15,Vapour barriers and moisture control,9,Performance checking and troubleshooting,80,0.001884880899088189,0.05,0.20142971284076058,0.2001922481611786,0.32150081954618914
11,"Product sourcing, access and location questions",8,"Solar PV, batteries and power systems",80,0.001884880899088189,0.07670182166826463,0.16528738184678535,0.18288074200699295,0.46448119295304113
12,Roof and attic ventilation and airflow,14,Thermostat wiring and smart heating controls,79,0.0018613198878495866,0.019472516637909786,0.19059958283315057,0.19636351945787472,0.3161110243830854
11,"Product sourcing, access and location questions",13,"Wall, cavity and floor insulation",77,0.0018141978653723819,0.0738255033557047,0.2608355532909458,0.2649634171216265,0.2156999287225548
11,"Product sourcing, access and location questions",6,"Praise, gratitude and social endorsement",77,0.0018141978653723819,0.0738255033557047,0.23392997842755167,0.25330113481049127,0.3043908145176322
10,"Implementation follow-up, outcomes and retrospective questions",8,"Solar PV, batteries and power systems",77,0.0018141978653723819,0.044924154025670945,0.20176278619542987,0.2041825300985433,0.30861008959320685
14,Thermostat wiring and smart heating controls,7,"Alternative methods, challenges and ""why"" questions",77,0.0018141978653723819,0.041779706999457406,0.20144825758714657,0.18913870531150828,0.33317125248822643
15,Vapour barriers and moisture control,3,Clarification and specification questions,74,0.0017435148316565746,0.04625,0.24076059531340332,0.2250229963556411,0.32399058670711833
8,"Solar PV, batteries and power systems",11,"Product sourcing, access and location questions",74,0.0017435148316565746,0.02176470588235294,0.22604131150187026,0.21593228691179164,0.28926243036188654
16,"Prospective choices, recommendations and alternatives",15,Vapour barriers and moisture control,69,0.0016257097754635629,0.02564102564102564,0.1701264381615814,0.16744471157424964,0.3315844508144463
6,"Praise, gratitude and social endorsement",15,Vapour barriers and moisture control,68,0.0016021487642249605,0.018133333333333335,0.16336262229598475,0.1556407207662901,0.32752992970442923
1,Situated household retrofit experience and building context,2,Spray foam and foam insulation,68,0.0016021487642249605,0.013320274240940254,0.13029836078070617,0.11282913255251537,0.5403608162410677
15,Vapour barriers and moisture control,8,"Solar PV, batteries and power systems",67,0.0015785877529863582,0.041875,0.17363942674186947,0.18241735407442353,0.14903545920713865
16,"Prospective choices, recommendations and alternatives",10,"Implementation follow-up, outcomes and retrospective questions",66,0.0015550267417477558,0.024526198439241916,0.2444928360094417,0.24807038114304986,0.1209832741492429
8,"Solar PV, batteries and power systems",15,Vapour barriers and moisture control,64,0.0015079047192705511,0.018823529411764704,0.1387875273145897,0.14421809046679993,0.3527734702960943
7,"Alternative methods, challenges and ""why"" questions",3,Clarification and specification questions,63,0.0014843437080319488,0.03591790193842646,0.2796625020663943,0.2760179205329799,0.19083646538949564
13,"Wall, cavity and floor insulation",14,Thermostat wiring and smart heating controls,63,0.0014843437080319488,0.019236641221374046,0.12734796562185371,0.10442320236881694,0.5622246413847246
10,"Implementation follow-up, outcomes and retrospective questions",5,Heat pumps and heating systems,62,0.0014607826967933464,0.03617269544924154,0.22834657515264653,0.22578618382251686,0.2266493249942186
10,"Implementation follow-up, outcomes and retrospective questions",14,Thermostat wiring and smart heating controls,62,0.0014607826967933464,0.03617269544924154,0.20842291685059688,0.21027735345627493,0.3209248066305079
14,Thermostat wiring and smart heating controls,10,"Implementation follow-up, outcomes and retrospective questions",61,0.001437221685554744,0.033098209441128595,0.25339192325941245,0.250100076932229,0.1858881719585198
7,"Alternative methods, challenges and ""why"" questions",4,"Implementation, cost and how-to questions",61,0.001437221685554744,0.03477765108323831,0.2331596565837555,0.24545456004023994,0.26872455332968115
3,Clarification and specification questions,11,"Product sourcing, access and location questions",61,0.001437221685554744,0.021739130434782608,0.13711294429274246,0.041130511996158144,0.587921823958501
16,"Prospective choices, recommendations and alternatives",2,Spray foam and foam insulation,60,0.0014136606743161417,0.022296544035674472,0.2810088514340887,0.2781775774070392,0.11229656483255489
