representation,candidate_topic_count,topic_number,term_rank,term,term_weight
inclusive_primary,10,5,16,electric,0.27871187052277613
inclusive_primary,10,5,17,room,0.2772043137583716
inclusive_primary,10,5,18,furnace,0.2525608611059895
inclusive_primary,10,5,19,flow,0.2521252724799689
inclusive_primary,10,5,20,house,0.23296690240681808
inclusive_primary,10,6,1,video,1.9000738508506367
inclusive_primary,10,6,2,great,1.4742925430495508
inclusive_primary,10,6,3,great video,1.1571637690294583
inclusive_primary,10,6,4,thanks,0.9960785484567385
inclusive_primary,10,6,5,thank,0.42588240146792505
inclusive_primary,10,6,6,hi,0.26744939542461105
inclusive_primary,10,6,7,video thanks,0.2603890748741247
inclusive_primary,10,6,8,thanks video,0.22676316783804196
inclusive_primary,10,6,9,question,0.18690225816666492
inclusive_primary,10,6,10,videos,0.17821211108708
inclusive_primary,10,6,11,informative,0.16488648911628326
inclusive_primary,10,6,12,thermostat,0.13248221122721474
inclusive_primary,10,6,13,thanks great,0.1215126260050066
inclusive_primary,10,6,14,video what,0.11835264401252929
inclusive_primary,10,6,15,helpful,0.11797541182642256
inclusive_primary,10,6,16,job,0.11671309304954453
inclusive_primary,10,6,17,excellent,0.10807902092580965
inclusive_primary,10,6,18,sharing,0.10707793759869356
inclusive_primary,10,6,19,nice,0.10583915129549398
inclusive_primary,10,6,20,really,0.10004306857417622
inclusive_primary,10,7,1,why,2.5834984110901895
inclusive_primary,10,7,2,why not,0.9180762520755226
inclusive_primary,10,7,3,use,0.420765629642938
inclusive_primary,10,7,4,why would,0.3586193233777038
inclusive_primary,10,7,5,not,0.3076849866319845
inclusive_primary,10,7,6,why did,0.29892900271775374
inclusive_primary,10,7,7,not just,0.24326389791039127
inclusive_primary,10,7,8,did,0.22422126480416715
inclusive_primary,10,7,9,just,0.2208450033828918
inclusive_primary,10,7,10,not use,0.1983356187125098
inclusive_primary,10,7,11,would,0.14447554172189186
inclusive_primary,10,7,12,instead,0.1119237989371973
inclusive_primary,10,7,13,did not,0.102864417324775
inclusive_primary,10,7,14,tape,0.09593455307912553
inclusive_primary,10,7,15,why does,0.09372837817024837
inclusive_primary,10,7,16,just use,0.09281054632306712
inclusive_primary,10,7,17,why use,0.08932250909904621
inclusive_primary,10,7,18,illegal,0.08578269472573344
inclusive_primary,10,7,19,know why,0.07677208482451008
inclusive_primary,10,7,20,why no,0.07129987397018878
inclusive_primary,10,8,1,would,0.91680914467054
inclusive_primary,10,8,2,like,0.6811737764491567
inclusive_primary,10,8,3,house,0.6103942536969444
inclusive_primary,10,8,4,solar,0.571537632295683
inclusive_primary,10,8,5,just,0.5517612053061172
inclusive_primary,10,8,6,more,0.48076671861289094
inclusive_primary,10,8,7,never,0.45746605729560946
inclusive_primary,10,8,8,years,0.4238469050810492
inclusive_primary,10,8,9,panels,0.3821989954563562
inclusive_primary,10,8,10,when,0.3527323967670394
inclusive_primary,10,8,11,battery,0.3502497078969301
inclusive_primary,10,8,12,use,0.33939528344991343
inclusive_primary,10,8,13,good,0.3366146667209109
inclusive_primary,10,8,14,cost,0.32905399333924956
inclusive_primary,10,8,15,time,0.32578321639112556
inclusive_primary,10,8,16,power,0.3210043773219085
inclusive_primary,10,8,17,no,0.3101380548248488
inclusive_primary,10,8,18,home,0.2994554150671703
inclusive_primary,10,8,19,could,0.2769434760457024
inclusive_primary,10,8,20,energy,0.2756307518593105
inclusive_primary,10,9,1,not,2.287351017309205
inclusive_primary,10,9,2,does,1.0651011139672493
inclusive_primary,10,9,3,does not,0.6785693395372684
inclusive_primary,10,9,4,thermostat,0.45134368772402633
inclusive_primary,10,9,5,work,0.4364400994464658
inclusive_primary,10,9,6,wire,0.4136971267421787
inclusive_primary,10,9,7,did not,0.3155719292642159
inclusive_primary,10,9,8,need,0.28225798516409745
inclusive_primary,10,9,9,know,0.25465793859038494
inclusive_primary,10,9,10,not work,0.23746509589076792
inclusive_primary,10,9,11,not know,0.20309507577586078
inclusive_primary,10,9,12,when,0.2008480634235392
inclusive_primary,10,9,13,did,0.20042533966721426
inclusive_primary,10,9,14,not need,0.19349069456535428
inclusive_primary,10,9,15,wires,0.18534684090732895
inclusive_primary,10,9,16,just,0.18294003927042274
inclusive_primary,10,9,17,boiler,0.17377731270919392
inclusive_primary,10,9,18,sure,0.1571380804881042
inclusive_primary,10,9,19,nest,0.15208779375145956
inclusive_primary,10,9,20,would not,0.14399705839181376
inclusive_primary,10,10,1,where,2.72465066517081
inclusive_primary,10,10,2,did,1.020261054608057
inclusive_primary,10,10,3,where did,0.4272136647448894
inclusive_primary,10,10,4,buy,0.3647083774587742
inclusive_primary,10,10,5,where buy,0.32592707820789896
inclusive_primary,10,10,6,did not,0.26847751338855513
inclusive_primary,10,10,7,how did,0.1530545688971754
inclusive_primary,10,10,8,where does,0.11343248615596399
inclusive_primary,10,10,9,link,0.09163934865916663
inclusive_primary,10,10,10,know where,0.08890502924831549
inclusive_primary,10,10,11,live,0.08681219154691429
inclusive_primary,10,10,12,did use,0.0865086290690128
inclusive_primary,10,10,13,what did,0.08626517083318432
inclusive_primary,10,10,14,why did,0.08074302284141262
inclusive_primary,10,10,15,located,0.07286124001584153
inclusive_primary,10,10,16,where live,0.06901923591563913
inclusive_primary,10,10,17,video where,0.06365359795349282
inclusive_primary,10,10,18,wire,0.06130803826725927
inclusive_primary,10,10,19,where would,0.05638823981959564
inclusive_primary,10,10,20,based,0.05579387498794642
inclusive_primary,12,1,1,not,1.7498808335303755
inclusive_primary,12,1,2,would,1.475365362236074
inclusive_primary,12,1,3,house,1.4137662942993825
inclusive_primary,12,1,4,like,1.2640623290187134
inclusive_primary,12,1,5,just,1.2155074583081071
inclusive_primary,12,1,6,good,0.7660004995648819
inclusive_primary,12,1,7,when,0.7458954608798525
inclusive_primary,12,1,8,never,0.7422135528370221
inclusive_primary,12,1,9,years,0.720205669961848
inclusive_primary,12,1,10,more,0.6888496445064188
inclusive_primary,12,1,11,no,0.5986163177930601
inclusive_primary,12,1,12,time,0.5695789386738948
inclusive_primary,12,1,13,could,0.5694838200220084
inclusive_primary,12,1,14,old,0.5667186654862506
inclusive_primary,12,1,15,new,0.523714604679789
inclusive_primary,12,1,16,think,0.511804553438392
inclusive_primary,12,1,17,work,0.4893254632987507
inclusive_primary,12,1,18,really,0.48840732429139455
inclusive_primary,12,1,19,way,0.48543718141673387
inclusive_primary,12,1,20,people,0.46235812461120845
inclusive_primary,12,2,1,foam,2.6466903806960604
inclusive_primary,12,2,2,spray,1.9211356171515925
inclusive_primary,12,2,3,spray foam,1.8417379946990313
inclusive_primary,12,2,4,cell,0.30427004919090067
inclusive_primary,12,2,5,use,0.29604367049279995
inclusive_primary,12,2,6,foam insulation,0.258156782963977
inclusive_primary,12,2,7,closed,0.2467242969753032
inclusive_primary,12,2,8,closed cell,0.24305385756347117
inclusive_primary,12,2,9,expanding,0.21452426863361176
inclusive_primary,12,2,10,foam board,0.21274721560044008
inclusive_primary,12,2,11,board,0.1995429208463355
inclusive_primary,12,2,12,expanding foam,0.19410778802553155
inclusive_primary,12,2,13,cell spray,0.1737373384970236
inclusive_primary,12,2,14,use spray,0.1511340814267706
inclusive_primary,12,2,15,foam not,0.12461859572247945
inclusive_primary,12,2,16,attic,0.12457489863157208
inclusive_primary,12,2,17,seal,0.10974639197344872
inclusive_primary,12,2,18,cell foam,0.10355058205931231
inclusive_primary,12,2,19,wool,0.09574590195006177
inclusive_primary,12,2,20,mortgage,0.09469414637800964
inclusive_primary,12,3,1,what,3.418996843803466
inclusive_primary,12,3,2,what would,0.15502711235816274
inclusive_primary,12,3,3,what happens,0.14479789037252544
inclusive_primary,12,3,4,happens,0.13968195610970666
inclusive_primary,12,3,5,what brand,0.13342481359428227
inclusive_primary,12,3,6,what did,0.13184562036586953
inclusive_primary,12,3,7,using,0.13145865837266713
inclusive_primary,12,3,8,know what,0.1311378029503759
inclusive_primary,12,3,9,what kind,0.12921913823803413
inclusive_primary,12,3,10,brand,0.12655409152369626
inclusive_primary,12,3,11,kind,0.11503739954011769
inclusive_primary,12,3,12,what cost,0.10762937334520863
inclusive_primary,12,3,13,did,0.10637573973385755
inclusive_primary,12,3,14,what size,0.10582828432196706
inclusive_primary,12,3,15,use,0.10498956131911778
inclusive_primary,12,3,16,size,0.10116435199779278
inclusive_primary,12,3,17,cost,0.09527151886715023
inclusive_primary,12,3,18,did use,0.0919797749683937
inclusive_primary,12,3,19,called,0.09006192492891377
inclusive_primary,12,3,20,know,0.08618959804410319
inclusive_primary,12,4,1,how,3.2113435082669466
inclusive_primary,12,4,2,how did,0.4207707351614571
inclusive_primary,12,4,3,did,0.3924053067230881
inclusive_primary,12,4,4,cost,0.3913444235705619
inclusive_primary,12,4,5,how does,0.2798739923032258
inclusive_primary,12,4,6,how long,0.24096858403795826
inclusive_primary,12,4,7,know,0.22887830414473864
inclusive_primary,12,4,8,how would,0.2163362213591157
inclusive_primary,12,4,9,long,0.19640878513506357
inclusive_primary,12,4,10,know how,0.1588461179563854
inclusive_primary,12,4,11,how cost,0.1563672543041416
inclusive_primary,12,4,12,how know,0.12395616972707005
inclusive_primary,12,4,13,video how,0.11156483199347407
inclusive_primary,12,4,14,did cost,0.09852126368274168
inclusive_primary,12,4,15,how fix,0.0962830725222316
inclusive_primary,12,4,16,fix,0.09500421213797056
inclusive_primary,12,4,17,would,0.07859246413920021
inclusive_primary,12,4,18,how install,0.07254278039319588
inclusive_primary,12,4,19,not how,0.06573045451837262
inclusive_primary,12,4,20,insulate,0.06405692270617723
inclusive_primary,12,5,1,heat,2.3958700465588723
inclusive_primary,12,5,2,pump,1.6141357610912266
inclusive_primary,12,5,3,heat pump,1.5069870640638978
inclusive_primary,12,5,4,water,0.6805846257224046
inclusive_primary,12,5,5,heating,0.6517855943327375
inclusive_primary,12,5,6,gas,0.6505486563498418
inclusive_primary,12,5,7,boiler,0.5664785981661101
inclusive_primary,12,5,8,pumps,0.5295895790786899
inclusive_primary,12,5,9,heat pumps,0.496010487613846
inclusive_primary,12,5,10,hot,0.43365596914883486
inclusive_primary,12,5,11,hot water,0.3773621134725339
inclusive_primary,12,5,12,temperature,0.37434050093373533
inclusive_primary,12,5,13,electric,0.31502441206992937
inclusive_primary,12,5,14,radiators,0.28298780993372974
inclusive_primary,12,5,15,furnace,0.24797345675239904
inclusive_primary,12,5,16,air,0.24346394860607146
inclusive_primary,12,5,17,heater,0.22656418118136726
inclusive_primary,12,5,18,run,0.20776298573115945
inclusive_primary,12,5,19,cold,0.20570401279984316
inclusive_primary,12,5,20,loss,0.20405015932140427
inclusive_primary,12,6,1,video,1.9169940769073868
inclusive_primary,12,6,2,great,1.494307339639676
inclusive_primary,12,6,3,great video,1.1752405846914407
inclusive_primary,12,6,4,thanks,0.9893886634866162
inclusive_primary,12,6,5,thank,0.4155401488005742
inclusive_primary,12,6,6,video thanks,0.26314435080959725
inclusive_primary,12,6,7,hi,0.2573136998187544
inclusive_primary,12,6,8,thanks video,0.22666048471846031
inclusive_primary,12,6,9,question,0.1840905263700873
inclusive_primary,12,6,10,videos,0.17564322435145313
inclusive_primary,12,6,11,informative,0.16576847187758187
inclusive_primary,12,6,12,thanks great,0.12268547589893138
inclusive_primary,12,6,13,video what,0.12057088739240245
inclusive_primary,12,6,14,helpful,0.11630340671776235
inclusive_primary,12,6,15,excellent,0.1077998219154179
inclusive_primary,12,6,16,sharing,0.10658434135326512
inclusive_primary,12,6,17,nice,0.10559350328227536
inclusive_primary,12,6,18,job,0.10308824725120265
inclusive_primary,12,6,19,video how,0.09907506137834023
inclusive_primary,12,6,20,video thank,0.09498775729412208
inclusive_primary,12,7,1,why,2.4664447197014248
inclusive_primary,12,7,2,not,0.9544139890289917
inclusive_primary,12,7,3,why not,0.9314695019909887
