feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present
after,1,1591,3.7485568880616356,4.283194472589153,0.004807763539565639,0.12825638460702982
before,1,1581,3.724995876823033,4.289495690665882,0.004826897525987272,0.12958128506987843
hi,1,1560,3.6755177532219685,4.302858918478049,0.005463814631452213,0.1486542848735425
temperature,1,1531,3.6071908206300214,4.321611488692945,0.005063018844780052,0.14035905214173727
energy,1,1526,3.5954103150107204,4.324880533774849,0.00496960047607904,0.1382206769372364
warm,1,1523,3.5883420116391394,4.326847102746889,0.0048897016837269125,0.1362663221027061
hot,1,1523,3.5883420116391394,4.326847102746889,0.0047545213469765615,0.1324991132828143
inside,1,1521,3.583629809391419,4.32816030057185,0.004742315593849531,0.13233274211029297
people,1,1512,3.562424899276677,4.334091125205125,0.0047039943721599664,0.1320447309111015
year,1,1497,3.5270833824187733,4.3440546749163165,0.0044512624909779225,0.12620236065769938
most,1,1496,3.524727281294913,4.344722454573852,0.004183809446547704,0.11869881306137982
does not,2,1492,3.5153028767994723,4.347398041454291,0.004484270072000502,0.127564259159462
doing,1,1490,3.510590674551752,4.348738524228743,0.004891240492947848,0.13932813439072855
thermostat,1,1478,3.482317461065429,4.356819376282681,0.005878116679232851,0.16879898932116366
lot,1,1439,3.3904295172348795,4.3835424464234345,0.004194708038758421,0.12372202452329649
barrier,1,1423,3.352731899253116,4.39471574702156,0.0052562875023266014,0.156776254716267
best,1,1418,3.340951393633815,4.3982331618334385,0.004478398387274302,0.13404560137594018
run,1,1418,3.340951393633815,4.3982331618334385,0.004267604716736239,0.1277362108550326
gas,1,1417,3.3385952925099547,4.398938131901408,0.004629300289236671,0.13866012150746085
winter,1,1399,3.29618547228047,4.411713323390131,0.004131684500451272,0.12534745193184654
unit,1,1385,3.263200056546427,4.4217636592436325,0.00490056354888659,0.15017662000389423
under,1,1385,3.263200056546427,4.4217636592436325,0.004374986776259072,0.13407044313701355
power,1,1379,3.2490634498032653,4.426102060842231,0.00485218507146499,0.14934103769991922
sure,1,1379,3.2490634498032653,4.426102060842231,0.004144052955762426,0.127546076578263
thing,1,1327,3.126546191362533,4.464511508957102,0.004285654185195734,0.137073112722127
space,1,1322,3.114765685743232,4.468283674878526,0.004175233133187426,0.1340464598123101
attic,1,1321,3.112409584619372,4.46903981858185,0.005195934331440517,0.1669424987352989
building,1,1318,3.105341281247791,4.471311686276167,0.004210356658438738,0.13558434571632424
day,1,1315,3.0982729778762104,4.473588727108218,0.004074517847568747,0.13150932395768844
job,1,1309,3.084136371133049,4.478158422798284,0.00514711594522984,0.16689002449456847
right,1,1302,3.0676436632660273,4.483516261868636,0.004284885856563536,0.1396800387174548
help,1,1280,3.015809438541102,4.500544537096747,0.004235037485843229,0.14042788750909702
say,1,1274,3.001672831797941,4.505239381400955,0.003979196070906454,0.1325659488520272
set,1,1271,2.9946045284263603,4.507595095093413,0.004380637301273264,0.14628433436502056
question,1,1260,2.9686874160638976,4.516280503028561,0.004239282898066699,0.14279990797035308
spray,1,1244,2.9309897980821336,4.529050030094673,0.0054588169720874435,0.18624483018191912
panels,1,1239,2.9192092924628326,4.533074180394398,0.004818100939965649,0.16504815027841974
damp,1,1234,2.907428786843531,4.537114589931404,0.004950847416924378,0.17028267173137876
did not,2,1230,2.8980043823480903,4.540358712809027,0.003994527680433741,0.13783718564280428
live,1,1230,2.8980043823480903,4.540358712809027,0.003855924462380653,0.13305447313562768
windows,1,1214,2.8603067643663267,4.5534414832188315,0.004379910144218693,0.15312728686249918
open,1,1213,2.8579506632424665,4.554264867374037,0.004033507082579001,0.14113284509967072
without,1,1189,2.801404236269821,4.5742322528879065,0.0036701351294697038,0.1310105511354774
