video_id,topic_01_relative_weight,topic_02_relative_weight,topic_03_relative_weight,topic_04_relative_weight,topic_05_relative_weight,topic_06_relative_weight,topic_07_relative_weight,topic_08_relative_weight,topic_09_relative_weight,topic_10_relative_weight,topic_11_relative_weight,topic_12_relative_weight,topic_13_relative_weight,topic_14_relative_weight,topic_15_relative_weight,topic_16_relative_weight,modelled_comment_count,dominant_topic_number,secondary_topic_number,dominant_topic_label,dominant_relative_weight,secondary_relative_weight,dominance_margin,effective_topic_count,creator_type,video_type,_video_publication_date,publication_year
0oDLwBZurp8,0.12923234525399555,0.06094631398691503,0.0352505091303915,0.02692446565503607,0.04281190378332301,0.06821486751878887,0.025619083986682747,0.02672382034297942,0.04028342256662416,0.030166487897628744,0.0182491114389611,0.07723592947583496,0.21845762621587958,0.009817602999623724,0.11236014296789709,0.07770636677943844,344,13,1,"Wall, cavity and floor insulation",0.21845762621587958,0.12923234525399555,0.08922528096188403,12.020717002242556,builder_contractor,project_walkthrough,2022-08-05 17:00:00+00:00,2022
0pOjJ-w733E,0.09060385381183572,0.03254180786407885,0.05033462663192062,0.04602531131211747,0.0023383677514228264,0.14660719761333132,0.0285823180153238,0.00915532183859665,0.06365920140794726,0.012088332695194806,0.0653487054470943,0.04327566172309802,0.22835579531024186,0.006296162303711079,0.10909629317136771,0.06569104310271774,29,13,6,"Wall, cavity and floor insulation",0.22835579531024186,0.14660719761333132,0.08174859769691054,10.957220697531616,training_educational,how_to_installation_demo,2024-01-13 16:00:00+00:00,2024
0qc4CliDuLo,0.06730281304678061,0.0025050076923922647,0.05358231273498765,0.0049739868987185454,0.12494169791241432,0.0027049750045443667,0.23395811111566145,0.022949114123122494,0.14713705557609225,0.0034724934588556394,0.0,0.17070426129246377,0.10158155902160419,0.0025032506193986637,0.00791309671923759,0.053770264783726214,6,7,12,"Alternative methods, challenges and ""why"" questions",0.23395811111566145,0.17070426129246377,0.06325384982319768,8.400780129416358,installer_tradesperson,how_to_installation_demo,2019-04-15 03:58:16+00:00,2019
0sVRsjU8PlA,0.1792195139613919,0.010595537858225621,0.13541991796863792,0.08539128294018787,0.015476772158960614,0.09374799360555648,0.014279306714675014,0.013619513391907362,0.07416946192622201,0.07356406374109135,0.030503627218869993,0.0747457711498298,0.13806763174381945,0.01868549427667108,0.01996368014623794,0.02255043119771557,20,1,13,Situated household retrofit experience and building context,0.1792195139613919,0.13806763174381945,0.04115188221757246,11.46601880478933,diy_renovator_homeowner,how_to_installation_demo,2025-02-20 12:00:01+00:00,2025
0z7OdJe7AQc,0.11719439891787915,0.0014386312660190955,0.041384629313165396,0.050599731956590094,0.21177414220788907,0.20156468751608903,0.14602163053060185,0.00436427331748584,0.039535238194853335,0.04999620949920517,0.010826833372201394,0.012635034150421503,0.0021750211665116067,0.06006087545285513,0.005959513796773086,0.04446914934145922,23,5,6,Heat pumps and heating systems,0.21177414220788907,0.20156468751608903,0.01020945469180004,9.324211709269665,installer_tradesperson,how_to_installation_demo,2022-05-23 07:33:33+00:00,2022
0zASbMENdCk,0.15289795450231572,0.002688078139256532,0.050047715047046124,0.034683018425475644,0.26799711238102275,0.043384337218908095,0.05197520325517457,0.08535401891140082,0.07527461124680827,0.04088857789662735,0.03345851412762708,0.03354955858312561,0.004262058936389372,0.04712813248518995,0.00481710314753332,0.07159400569609879,47,5,1,Heat pumps and heating systems,0.26799711238102275,0.15289795450231572,0.11509915787870703,10.558998599821475,training_educational,how_to_installation_demo,2025-11-30 23:00:05+00:00,2025
1-diFUZo_Cc,0.0,0.274057255461482,0.004056336966998074,0.46646439411625434,0.010455477379317865,0.0,0.024793683538073062,0.02885596937866242,0.0,0.013488742426703367,0.0,0.0,0.13802755381507564,0.01225221187927966,0.027548375038153616,0.0,2,4,2,"Implementation, cost and how-to questions",0.46646439411625434,0.274057255461482,0.19240713865477233,4.3006067534505545,installer_tradesperson,how_to_installation_demo,2023-06-07 21:15:47+00:00,2023
19_ub9qiqZA,0.08296281244129894,0.003544398256383894,0.26877180679662777,0.004852450763621419,0.0,0.12924645670874568,0.0,0.0,0.4675181908443429,0.0,0.0021560391065293697,0.0,0.01334245704543387,0.010432896418990803,0.017172491618025393,0.0,2,9,3,Performance checking and troubleshooting,0.4675181908443429,0.26877180679662777,0.1987463840477151,4.110949832739823,diy_renovator_homeowner,how_to_installation_demo,2025-04-08 20:49:03+00:00,2025
1EsMv9NLf3c,0.07685745563689893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043165311056239844,0.0,0.0,0.0,0.5989079986087972,0.0,0.0,0.28106923469806394,1,13,16,"Wall, cavity and floor insulation",0.5989079986087972,0.28106923469806394,0.31783876391073324,2.709072302244627,installer_tradesperson,how_to_installation_demo,2022-01-09 17:54:58+00:00,2022
1FuGf05MoGM,0.0842168606058337,0.0026544234138158184,0.01314897335896741,0.15880610051120653,0.0,0.005063986929612605,0.0036002108519117594,0.014788269720261323,0.0,0.15686910288975559,0.030253507582728236,0.05860211563910113,0.2903811915520264,0.049371015537628155,0.08304836809735514,0.04919587330979624,4,13,4,"Wall, cavity and floor insulation",0.2903811915520264,0.15880610051120653,0.13157509104081988,8.22949427256484,diy_renovator_homeowner,how_to_installation_demo,2024-02-05 11:33:10+00:00,2024
1N_ZsLrfUJM,0.10207063514345603,0.0014668713225591743,0.05454822807288399,0.030746125309291394,0.017084320304746575,0.03789768054340151,0.06367511188508038,0.48963811518854344,0.046419616795176165,0.026657262101890164,0.02415845181128241,0.017808313699691342,0.007984027480028213,0.011599162848167024,0.004784441323144745,0.06346163617065748,152,8,1,"Solar PV, batteries and power systems",0.48963811518854344,0.10207063514345603,0.3875674800450874,6.810104271229965,training_educational,practical_advice_explainer,2024-04-29 08:00:01+00:00,2024
1Y7d6Pa0ejQ,0.06907375193333797,0.0,0.015024074758854786,0.05042753708766824,0.0002793591426324466,0.1325652958995084,0.05882300673876568,0.013472967855489732,0.18541245791287725,0.02408225166955395,0.00333272072609036,0.05255490481986897,0.26005197204106717,0.012529213846931214,0.10972470905764606,0.012645776509707777,7,13,9,"Wall, cavity and floor insulation",0.26005197204106717,0.18541245791287725,0.07463951412818992,8.776239899884947,installer_tradesperson,how_to_installation_demo,2023-08-27 16:00:02+00:00,2023
1kz1c-rZsDk,0.03429813559635135,0.00535958770252113,0.06298942218469936,0.0842578898875886,0.005984475159237266,0.05080414076232658,0.06344785649259624,0.503702947887864,0.0400011553397361,0.02570579181418548,0.017987893164893864,0.005542478378861517,0.00662334195578477,0.060008532585209766,0.0166323687409059,0.01665398234723812,91,8,4,"Solar PV, batteries and power systems",0.503702947887864,0.0842578898875886,0.4194450580002754,6.626116819995497,installer_tradesperson,how_to_installation_demo,2020-11-26 10:39:54+00:00,2020
1mJkjrwxdP4,0.09055234652402151,0.003643947976789743,0.05089345412684255,0.03758694233268569,0.03405987815452267,0.24959988724193777,0.025559431704652507,0.02623318895758031,0.04630202635332384,0.03167245627645215,0.019673297637994334,0.02622345497545268,0.020406450645777167,0.30122909825884225,0.007598291816519692,0.0287658470166051,146,14,6,Thermostat wiring and smart heating controls,0.30122909825884225,0.24959988724193777,0.051629211016904486,8.740692431825583,training_educational,how_to_installation_demo,2020-04-11 14:15:00+00:00,2020
