comment_id,video_id,inclusive_topic_number,raw_sensitivity_topic_number,mapped_sensitivity_topic_number,same_dominant_topic_after_mapping
Ugw-gQD6h2iyokCiitZ4AaABAg,OemQjgUbXOw,12,11,12,True
Ugw-gWQqPG7osInltj94AaABAg,Af6aaUyMc3E,6,13,14,False
Ugw-g_eCd1wixoGKte94AaABAg,5O6rHbUJRrM,14,13,14,True
Ugw-gpurApVY8f97Xmx4AaABAg,CPLkXkKwTFM,13,12,13,True
Ugw-h9Pd8a1G8CcvuVx4AaABAg,tNE5GEePXuk,3,5,1,False
Ugw-hUPNQC45uhoDe3B4AaABAg,FXXgjvOJcYI,4,4,4,True
Ugw-i3idzF6jkgi0Tgp4AaABAg,h5bGmkMqHZA,3,3,3,True
Ugw-iwVFjqz_D9Xn0UR4AaABAg,-qXLU6xjwFQ,8,15,8,True
Ugw-jKZ9xaFa_YWruYt4AaABAg,YS6NzCAG4l8,10,16,6,False
Ugw-juC8lFqspnXmwMF4AaABAg,qKdgE_kjcuE,8,15,8,True
Ugw-k0ZsrD57YShv5Rd4AaABAg,SfgTOcclbCY,5,8,9,False
Ugw-kJK27o60EuWjGCh4AaABAg,fSR6BY701PU,16,12,13,False
Ugw-kVasgTBF0yG5FEV4AaABAg,1N_ZsLrfUJM,8,15,8,True
Ugw-kX8EdT3KYLRCrsx4AaABAg,iDMZz4HIURw,6,16,6,True
Ugw-lCvSanpIDjAYsy54AaABAg,5D9TBj3_Cf4,6,5,1,False
Ugw-llUfATmRM-qbz8R4AaABAg,PHeTx5sGL3A,6,15,8,False
Ugw-mVZiSvLytuCb_9N4AaABAg,I7GD0MB8SzY,6,15,8,False
Ugw-nN5l_WsVAS3RGUF4AaABAg,QEg0TlhN0Z4,12,5,1,False
Ugw-npNY2CcerF-7NTB4AaABAg,5abHgZp11C4,16,9,10,False
Ugw-oI0CtQYnrPANIRp4AaABAg,YhGoeR4Q4tM,13,12,13,True
Ugw-oQKO_9P0tP7ePUN4AaABAg,LL6YhT_HkIY,9,8,9,True
Ugw-oyyNtWx03SuAifN4AaABAg,jYNufQVIFfA,1,5,1,True
Ugw-pa8vwlDhroFdgvd4AaABAg,Ahv9b4YilEQ,3,3,3,True
Ugw-pwpR6SkyZKe3vU54AaABAg,AN4_mkEfDPE,4,4,4,True
Ugw-qJIb0p2XGiyixkd4AaABAg,uRqlgQ0a8DQ,5,5,1,False
Ugw-r63QmndmxU5SkeR4AaABAg,tu1st66use4,13,12,13,True
Ugw-rDv4VEvz9kcFqGd4AaABAg,YpKQ-JULyG4,3,3,3,True
Ugw-rub4pmD1WiOSOQZ4AaABAg,KRJGh6X073Q,10,9,10,True
Ugw-s2xzIcf6nWxLR_94AaABAg,AXamAjE0juw,5,7,5,True
Ugw-s8CmA16VzyO4Bqx4AaABAg,0oDLwBZurp8,8,15,8,True
Ugw-sA8IMZVvsJOyiud4AaABAg,S9s1VWxQ-5o,11,10,11,True
Ugw-swMnZnMUpa9aAVF4AaABAg,7IXJnc4nWCg,6,16,6,True
Ugw-sxAjgB9fGYI7O4d4AaABAg,fSR6BY701PU,13,12,13,True
Ugw-tNeUoISIz5r3_eN4AaABAg,s-41UF02vrU,12,8,9,False
Ugw-tOz4T212b_NstT54AaABAg,bsJkMuMDy_c,5,9,10,False
Ugw-tVyvelUfv4GxAG14AaABAg,sSDytAtzk0U,14,13,14,True
Ugw-toS036qZ2cvt_uF4AaABAg,qgv50bsmhus,1,5,1,True
Ugw-uoQk8e5_Dtchv9J4AaABAg,w4s-oE-VQwg,7,6,7,True
Ugw-vU_VsbdHA7vkDxd4AaABAg,Qf_30U_Erno,2,16,6,False
Ugw-w1gmJikrkPselmB4AaABAg,q6q_70hEl2g,6,3,3,False
Ugw-wbNK3AtU2vObuNx4AaABAg,00wwEMbEc_M,9,1,16,False
Ugw-wi6eckdpfojZqq94AaABAg,Af6aaUyMc3E,14,13,14,True
Ugw-x4gENSPPJH9yVAR4AaABAg,yABGViMgD5A,4,4,4,True
Ugw-yBcJqAno88HGSk54AaABAg,q6q_70hEl2g,9,8,9,True
Ugw-z3oeWXfvZpjgsQ54AaABAg,Ou1CjwflZtM,2,2,2,True
Ugw-zAeHtSikkaZLSlB4AaABAg,tbq6uZ9Y0nQ,12,4,4,False
Ugw-zCgJxAsc-qS79C94AaABAg,fIhlXdk9PFg,16,4,4,False
Ugw-zFUpiHnzt1JFUBJ4AaABAg,cQGDIwil44Q,16,9,10,False
Ugw0-dUdaNxslxFzrNF4AaABAg,SfgTOcclbCY,7,5,1,False
Ugw0-pTJjQ8LkyBOYsF4AaABAg,QGrCOzSLBSU,9,8,9,True
Ugw0-y6TntK90PEfZcN4AaABAg,hkO-YNve2uE,7,6,7,True
Ugw0015yGQkd1OkbW4l4AaABAg,Q3Oufer38ow,9,8,9,True
Ugw009QpEHWKBN-gJTh4AaABAg,35kJvNW81pU,2,2,2,True
Ugw00XCaOMYQZI6BMyd4AaABAg,ABjqoJ0eXYo,6,13,14,False
Ugw016zYJZl0q60YXWt4AaABAg,0z7OdJe7AQc,6,5,1,False
Ugw02DTmxypgeLV0Ho14AaABAg,Af6aaUyMc3E,7,6,7,True
Ugw02HYoJF5tb4XWXLh4AaABAg,zSxyUFLwFbc,11,10,11,True
Ugw03Ja3x0NWNpKj-714AaABAg,O2xQjzYs5M4,10,9,10,True
Ugw03jOq51YA3USjIzx4AaABAg,UG7qWFqYQGU,16,3,3,False
Ugw03vg5dFV0yvHZy_54AaABAg,xcAwujfTN64,3,3,3,True
Ugw04-mbBaP8HFVzJEh4AaABAg,t9CgJhPSvkc,6,16,6,True
Ugw04DGEopZ_CbHUQ_54AaABAg,OZvrTuhJhXs,6,15,8,False
Ugw04IIa67ZPnjXbqIJ4AaABAg,fnrOXNG-32U,1,5,1,True
Ugw04WoD5veweyue98d4AaABAg,kHtrw6kFHTE,13,12,13,True
Ugw05ALOgaj1i9HmL3F4AaABAg,OvagVsf1rTY,15,14,15,True
Ugw05biUuTGNE8CLMlJ4AaABAg,xOUBlKTynes,13,12,13,True
Ugw07JggzUL2bpU8dPt4AaABAg,2Apa2WcG9z0,8,1,16,False
Ugw08ggXYN2nM3l9vR54AaABAg,1N_ZsLrfUJM,8,15,8,True
Ugw08tOoAdJiHqzjZl54AaABAg,YZQzzxv4hKI,14,13,14,True
Ugw0A8KmdBhoXClyg3B4AaABAg,Lc2D5U4DJew,9,8,9,True
Ugw0AOGWGiZejbMA6Gt4AaABAg,9fcsgrrHSQ8,5,5,1,False
Ugw0ARNB3s90Ksgv9AZ4AaABAg,U-hVUczzlL4,1,5,1,True
Ugw0AWzitmU6_kTZFJN4AaABAg,PHeTx5sGL3A,7,6,7,True
Ugw0B-gDFcHqp6MKf6F4AaABAg,ykKwmSqpznM,1,5,1,True
Ugw0BBqEHWuUAIba0_t4AaABAg,RN1Te0AKCLs,4,4,4,True
Ugw0BK2jlvh7V91tdlZ4AaABAg,KRJGh6X073Q,11,10,11,True
Ugw0BqKXPM5E7X8o2wl4AaABAg,AN4_mkEfDPE,7,14,15,False
Ugw0CGtn0z7zwpNn3PN4AaABAg,qyZm66j8QU4,1,16,6,False
Ugw0CQ5wAXpuBXJAlSJ4AaABAg,aBLHTS65Y7U,4,15,8,False
Ugw0D6jU6oVuHIxzN_x4AaABAg,7NsZ2d2Oups,5,5,1,False
Ugw0DrraiLJO0dZr3fh4AaABAg,2ysltLzfWsk,3,3,3,True
Ugw0E5tjRk7n4h28VqR4AaABAg,iKcSKpR9KAM,1,9,10,False
Ugw0EKQ6AtEKaTtEZlh4AaABAg,RqJ9Kg2ZtO8,5,7,5,True
Ugw0FnGSKbPVV6Xkvyh4AaABAg,Qf_30U_Erno,12,11,12,True
Ugw0G7kTSP80WnrDzNR4AaABAg,bXaPAOUNWI4,3,3,3,True
Ugw0GF5Yzekwy2i9c3R4AaABAg,tu1st66use4,13,12,13,True
