feature,ngram_size,document_frequency,document_frequency_percent,idf,mean_tfidf_all_comments,mean_tfidf_when_present,removal_basis
really great,2,33,0.0776708169557747,8.130616437486074,0.0001826592564308,0.2351710250901895,N-gram containing a sensitivity stop word
video showing,2,33,0.0776708169557747,8.130616437486074,0.0001876289810336,0.2415694702175337,N-gram containing a sensitivity stop word
videos not,2,33,0.0776708169557747,8.130616437486074,0.0001648734541939,0.2122720741920156,N-gram containing a sensitivity stop word
com,1,32,0.0753171558359027,8.160469400635755,0.0001746005163811,0.2318203793589833,Direct sensitivity stop word
great channel,2,32,0.0753171558359027,8.160469400635755,0.0001799156258751,0.2388773498924184,N-gram containing a sensitivity stop word
video need,2,32,0.0753171558359027,8.160469400635755,0.0002185943147371,0.2902317703199619,N-gram containing a sensitivity stop word
just watched,2,31,0.0729634947160307,8.19124105930251,0.0001661487724347,0.227714932078611,N-gram containing a sensitivity stop word
nice warm,2,31,0.0729634947160307,8.19124105930251,0.0001781399381045,0.2441494048466459,N-gram containing a sensitivity stop word
not video,2,31,0.0729634947160307,8.19124105930251,0.00022308421219,0.3057477072038943,N-gram containing a sensitivity stop word
saw video,2,31,0.0729634947160307,8.19124105930251,0.0001712282118088,0.2346765495201454,N-gram containing a sensitivity stop word
seen video,2,31,0.0729634947160307,8.19124105930251,0.000161212120496,0.2209490117262626,N-gram containing a sensitivity stop word
subscriber,1,31,0.0729634947160307,8.19124105930251,0.0001857314247724,0.2545539046551271,Direct sensitivity stop word
help thanks,2,30,0.0706098335961588,8.22298975761709,0.0001468083521182,0.2079148818815629,N-gram containing a sensitivity stop word
thanks info,2,30,0.0706098335961588,8.22298975761709,0.000175531632038,0.2485937483467516,N-gram containing a sensitivity stop word
thanks roger,2,30,0.0706098335961588,8.22298975761709,0.0001994587598636,0.2824801443441765,N-gram containing a sensitivity stop word
videos great,2,30,0.0706098335961588,8.22298975761709,0.0001724007648065,0.2441597098111422,N-gram containing a sensitivity stop word
could video,2,29,0.0682561724762868,8.25577958044008,0.0002017672214466,0.2956028944001528,N-gram containing a sensitivity stop word
shown video,2,29,0.0682561724762868,8.25577958044008,0.0001348573959137,0.1975753855236407,N-gram containing a sensitivity stop word
subscribe,1,29,0.0682561724762868,8.25577958044008,0.0001888842692341,0.2767284809293279,Direct sensitivity stop word
thanks vid,2,29,0.0682561724762868,8.25577958044008,0.0001990076551201,0.2915599394168187,N-gram containing a sensitivity stop word
great advice,2,28,0.0659025113564149,8.28968113211576,0.0001921996805065,0.2916424223458075,N-gram containing a sensitivity stop word
thank advance,2,28,0.0659025113564149,8.28968113211576,0.000160597102661,0.2436888964556454,N-gram containing a sensitivity stop word
thanks informative,2,28,0.0659025113564149,8.28968113211576,0.0001424645500577,0.216174690653688,N-gram containing a sensitivity stop word
video mate,2,28,0.0659025113564149,8.28968113211576,0.0002138263162417,0.3244585249343253,N-gram containing a sensitivity stop word
video think,2,28,0.0659025113564149,8.28968113211576,0.0001451404745254,0.2202351193272712,N-gram containing a sensitivity stop word
video usual,2,28,0.0659025113564149,8.28968113211576,0.0001540718007037,0.2337874498750028,N-gram containing a sensitivity stop word
work great,2,28,0.0659025113564149,8.28968113211576,0.0001316099352345,0.1997039756539637,N-gram containing a sensitivity stop word
follow video,2,27,0.0635488502365429,8.324772451927032,0.0001547526337042,0.2435175980811834,N-gram containing a sensitivity stop word
thanks just,2,27,0.0635488502365429,8.324772451927032,0.0001662186888109,0.2615604974633012,N-gram containing a sensitivity stop word
thanks making,2,27,0.0635488502365429,8.324772451927032,0.0001721579353821,0.2709064518733553,N-gram containing a sensitivity stop word
video got,2,27,0.0635488502365429,8.324772451927032,0.0001389744723497,0.2186892002490578,N-gram containing a sensitivity stop word
video looking,2,27,0.0635488502365429,8.324772451927032,0.000149113121149,0.2346433028984288,N-gram containing a sensitivity stop word
