video_id,comment_id,retrofit_topic,creator_type,video_type,comment_text_for_coding
jYNufQVIFfA,UgxM8euZEk1R-GHbD354AaABAg,damp_condensation_moisture,builder_contractor,problem_warning_mistakes,Had a “nontoxic” closed cell foam installed about 6 years ago. I traced the USA SDS sheet to the patent holder which did not list ingredients. For 2 weeks after install the house air quality was so toxic we moved out. After week 3 we moved back in and no odor since. Closed cell product shrank 5% a year later. All in all it was worth it.
jYNufQVIFfA,UgxakJHEvQlF7em2yVh4AaABAg,damp_condensation_moisture,builder_contractor,problem_warning_mistakes,Had a “nontoxic” closed cell foam installed about 6 years ago. I traced the USA SDS sheet to the patent holder which did not list ingredients. For 2 weeks after install the house air quality was so toxic we moved out. After week 3 we moved back in and no odor since. Closed cell product shrank 5% a year later. All in all it was worth it.
k5cYjwz-I1s,Ugxc62Et37OIEuNSwOV4AaABAg,smart_heating_controls,installer_tradesperson,practical_advice_explainer,"Please consider subscribing - Uploading still today! *PLUMBERPARTS AMAZON TOOL SHOP* https://www.amazon.co.uk/shop/plumberparts *Please Follow my Vlog, TimesWithJames* http://www.youtube.com/c/timeswithjames"
k5cYjwz-I1s,UgxgUZ6aaPiqjRXV-vB4AaABAg,smart_heating_controls,installer_tradesperson,practical_advice_explainer,"Please consider subscribing - Uploading still today! *PLUMBERPARTS AMAZON TOOL SHOP* https://www.amazon.co.uk/shop/plumberparts *Please Follow my Vlog, TimesWithJames* http://www.youtube.com/c/timeswithjames"
pd926OwKAiA,Ugz5wKPU-SJd6hHqkbt4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,"Great video! I have my green and blue wire connected together in the C on my old iComfort thermostat. I’m upgrading to the new Nest 4th gen thermostat, do I keep the blue and green wire connected in the C slot or should I separate it? Thanks for any input . 6:26"
pd926OwKAiA,UgzXns8vGo7rghWzGql4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,"Great video! I have my green and blue wire connected together in the C on my old iComfort thermostat. I’m upgrading to the new Nest 4th gen thermostat, do I keep the blue and green wire connected in the C slot or should I separate it? Thanks for any input . 6:26"
pd926OwKAiA,UgzwZUV5wg6nYC4QLH94AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,"Great video! I have my green and blue wire connected together in the C on my old iComfort thermostat. I’m upgrading to the new Nest 4th gen thermostat, do I keep the blue and green wire connected in the C slot or should I separate it? Thanks for any input . 6:26"
pd926OwKAiA,UgyJpvsYKrDui29hx3R4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,"Great video. I have both the blue and green wire connected to the C on my old iComfort thermostat. Trying to upgrade to the Nest 4th gen thermostat , can I connect green and blue wire to the C slot in the Nest thermostat or do I separate them?"
pd926OwKAiA,UgzQDO412tTr2i-XAZZ4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,"Great video. I have both the blue and green wire connected to the C on my old iComfort thermostat. Trying to upgrade to the Nest 4th gen thermostat , can I connect green and blue wire to the C slot in the Nest thermostat or do I separate them?"
ppKgtY7BchA,UgyNcX27icvKVQm9yEF4AaABAg,heat_pump_heating_retrofit,training_educational,how_to_installation_demo,"Cool system...until the day something breaks and the installer is long gone. I would imagine a lot of those parts aren’t readily available like the modulating pumps, pex manifolds, and the refrigerant distribution manifold to name a few. Not a good situation in the middle of January and you have to wait 3 days for a special order replacement part. Also, what happens when joe homeowner changes the carpet in one room to hardwood or vice versa? How do you correct that on the heating side?"
ppKgtY7BchA,UgzSuQ8u5A_vD79bRKh4AaABAg,heat_pump_heating_retrofit,training_educational,how_to_installation_demo,"Cool system...until the day something breaks and the installer is long gone. I would imagine a lot of those parts aren’t readily available like the modulating pumps, pex manifolds, and the refrigerant distribution manifold to name a few. Not a good situation in the middle of January and you have to wait 3 days for a special order replacement part. Also, what happens when joe homeowner changes the carpet in one room to hardwood or vice versa? How do you correct that on the heating side?"
qyZm66j8QU4,UgzKT9IY-siHYzKIGm94AaABAg,damp_condensation_moisture,diy_renovator_homeowner,how_to_installation_demo,Damp ❌ Dump ✅
qyZm66j8QU4,Ugzjf-fRd1rhPpOeqdR4AaABAg,damp_condensation_moisture,diy_renovator_homeowner,how_to_installation_demo,Damp ❌ Dump ✅
sSDytAtzk0U,Ugw9AY37GAnlMdqJ-qx4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,My wiring has the “C wire” in place. I’m buying it for boiler (heat). I don’t have a “yellow wire” (A/C). Question: It should work fine with 4wires (R/W/G/B). Right? Thank you so much!
sSDytAtzk0U,UgyoZOhHrYgB5Qw3GfV4AaABAg,smart_heating_controls,installer_tradesperson,how_to_installation_demo,My wiring has the “C wire” in place. I’m buying it for boiler (heat). I don’t have a “yellow wire” (A/C). Question: It should work fine with 4wires (R/W/G/B). Right? Thank you so much!
tbq6uZ9Y0nQ,Ugz2jSRUtijJ3P4mJRN4AaABAg,windows_doors_glazing,training_educational,how_to_installation_demo,How do you do this if you live in an apartment with no frame? Don't want to take paint off drywall.
tbq6uZ9Y0nQ,Ugz7EGFCGAJnswY7XI94AaABAg,windows_doors_glazing,training_educational,how_to_installation_demo,How do you do this if you live in an apartment with no frame? Don't want to take paint off drywall.
tu1st66use4,Ugx9gGHyDvK_kG9_vSJ4AaABAg,internal_wall_insulation,training_educational,practical_advice_explainer,"Bigger concern is when you remove the heat from the back of the wall in very cold climate, it can freeze. Spalling the masonry."
tu1st66use4,UgzYdoJowbYpS3aws1Z4AaABAg,internal_wall_insulation,training_educational,practical_advice_explainer,"Bigger concern is when you remove the heat from the back of the wall in very cold climate, it can freeze. Spalling the masonry."
