topic_number,representative_rank,topic_weight,relative_topic_loading,video_id,comment_id,comment_text,retrofit_topic,creator_type,video_type,primary_theme
11,2,0.11825420481925301,1.0,fm11vZii5Es,Ugx1xwu5JRveBmsEbwh4AaABAg,now that`s a warm roof,loft_roof_insulation,builder_contractor,how_to_installation_demo,theme_energy_performance
11,3,0.11209120212167985,0.8793231366497977,Kl3EAJD7Kbs,UgzYI5fnz0BWbi8YFF54AaABAg,No air gap mush ? Flat roof problem all day . Needs to be a warm roof really . Cold roof design is bad great video by the way . Yes learnt a lot for once,damp_condensation_moisture,builder_contractor,problem_warning_mistakes,theme_energy_performance
11,4,0.11127194953478858,0.9372409989668938,i41oW85zPm8,UgxLIFJOhodQgkkOfkR4AaABAg,"my flat roof(which i want to turn into a warm roof) runs into a pitched roof, would i seal the warm roof completely & then add some vent tiles to the bottom of the pitch roof to regain the ventilation i had from the old cold roof?",loft_roof_insulation,builder_contractor,practical_advice_explainer,theme_question_request
11,5,0.11102944281275957,0.8960719844872955,LL2-8RXSYKc,Ugw3FsIco2snWMv-BlZ4AaABAg,Always run the firings across the roof,damp_condensation_moisture,installer_tradesperson,problem_warning_mistakes,theme_practical_advice
11,6,0.10817167385597753,0.5790780230956201,YhGoeR4Q4tM,UgwuDuYrGevj573HUWx4AaABAg,"What I don't quite understand about leaving an air gap is that if air is comming in vents through the soffit and going up to the ridge board where does it vent out, air will stop moving if it's not vented at the other end, and if you have roof vents you would need one between each roof joist on both sides of the roof.",loft_roof_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_practical_advice
11,7,0.10612375555780364,0.738519207603639,ykKwmSqpznM,UgyMJuJN3Qi6NNIAwNd4AaABAg,"Might be too late to help, but I have a 1905 in Pittsburgh. I replaced roof about 7-8 yrs ago. I had ridge vents put in and decided to run ridge venting from gap at soffit up to ridge vent. Once that’s done I’m going to place batt insulation along the baffles. That should allow free flowing air along the roof line and create an air space in the attic. I’ve researched this and newer homes seem to work well with this method. As long as the roof gets cold air running along it, I should retain heat. Good luck.",ventilation_mvhr,diy_renovator_homeowner,how_to_installation_demo,theme_personal_experience
11,8,0.10422367465506228,0.9447460608469757,WATmq9zSvW8,UgxGvLn0wOmkynQ2W0Z4AaABAg,Can an air to air unit be put on a flat roof?,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request
12,1,0.20165599299418566,1.0,MzSCf_LkyNw,Ugy-u5O1GuWuYQSdmVp4AaABAg,Insulation thief. 😂,loft_roof_insulation,installer_tradesperson,how_to_installation_demo,theme_energy_performance
12,2,0.20165599299418566,1.0,dIPM5yk2u38,UgxDBm2E0cM3Ff05O6h4AaABAg,I have one for insulation!,airtightness_draught_proofing,installer_tradesperson,how_to_installation_demo,theme_energy_performance
12,3,0.20165599299418566,1.0,fm11vZii5Es,Ugyg1_I19Ehy5_gYI5R4AaABAg,200mm insulation - blimey,loft_roof_insulation,builder_contractor,how_to_installation_demo,theme_energy_performance
12,4,0.15702567623470434,1.0,y3g4Vpec1_M,Ugzd1eOwGHTinM8FjOV4AaABAg,Is that a 300mm wall and 100mm insulation?,damp_condensation_moisture,builder_contractor,how_to_installation_demo,theme_question_request
12,5,0.12498610339326593,0.9974563518932381,FH0U8hehXr8,UgwqSLsM83YmFXbNzxJ4AaABAg,Whatever happened to cavity wall insulation.,external_wall_insulation,training_educational,how_to_installation_demo,theme_energy_performance
12,6,0.123471624428118,0.38640489121920457,dIPM5yk2u38,Ugz2OCm1uBHmEzfgj594AaABAg,why the cone off insulation,airtightness_draught_proofing,installer_tradesperson,how_to_installation_demo,theme_energy_performance
12,7,0.11469017218991837,1.0,O2xQjzYs5M4,UgxDN_vroj6yUZbhnHp4AaABAg,Can this be done in a 90s build property thats had cavity wall insulation?,internal_wall_insulation,builder_contractor,how_to_installation_demo,theme_question_request
12,8,0.11391780700949396,0.9096057420212985,7dhfqmm_c2M,UgxE2ek19ov2YgmrPSd4AaABAg,I know of a company that used to specialise in cavity wall insulation. They now specialise in its removal. Cavity wall insulation can wreck a house. Don’t do it!,cavity_wall_insulation,installer_tradesperson,how_to_installation_demo,theme_energy_performance
13,1,0.14344342321420295,0.7522345230371713,ge6pQeFlj3k,UgxN9VITsHHzlEXKgWp4AaABAg,"Hi Jay, I have an old Lennox furnace from the 90’s and it does not have a c terminal. I am installing a Honeywell smart thermostat requiring a c terminal. When I follow the 2 wire from the A/C unit outside to the furnace the red wire goes to the “R” terminal on the furnace panel but the white wire does not connect to the furnace panel it is connected with the yellow wire from the thermostat cable of wires with a wire nut. Does that mean the common can be achieve by connecting into the white and yellow wires that are in the wire nut? In the thermostat bundle of wires is an unused blue wire that is not connected at either end. I was planning to use that blue wire as my c wire. Can I connect that blue wire into the wire nut bundle I mentioned and then connect the blue wire to the “c” on the smart thermostat?",smart_heating_controls,training_educational,practical_advice_explainer,theme_question_request
13,2,0.1369200341716544,0.963137303409459,vG-K5TDYYNA,Ugx5pvpwmR9T51tguM54AaABAg,I have an older Honeywell thermostat and it has a white wire to W yellow wire to Y green wire to G black wire to W2 and blue wire to Y2. I don't see that I have a C wire. I want to install a newer thermostat with wifi. can I do this with the existing wires? Or do I need to install a converter at the AC unit?,smart_heating_controls,installer_tradesperson,how_to_installation_demo,theme_question_request
13,3,0.13542928195319318,1.0,sSDytAtzk0U,UgwbCjtLHnvlPSYmbpB4AaABAg,"my thermostat has 5wires, red to RH, white to o/b, Y to yellow, G to green and C to blue wire, do i swap the G green wire & connect it to the C and the blue wire to G? and do i connect the red wire to RC or R on the honeywell thermostat? any assistance is appreciated, thank you!",smart_heating_controls,installer_tradesperson,how_to_installation_demo,theme_question_request
